Node	Beg	End
23100_SRX1051502_ST361	103865	104405
23100_SRX1051502_ST361	138604	139126
23100_SRX1051502_ST361	145468	145765
23100_SRX1051502_ST361	192792	192996
23100_SRX1051502_ST361	213756	214035
23100_SRX1051502_ST361	242679	242736
23100_SRX1051502_ST361	262204	262621
23100_SRX1051502_ST361	445066	445304
23100_SRX1051502_ST361	611804	612158
23100_SRX1051502_ST361	642815	643418
23100_SRX1051502_ST361	667470	668163
30262_ERX221156_ST1073	4754	6083
30262_ERX221156_ST1073	15034	15652
30262_ERX221156_ST1073	23183	23387
30262_ERX221156_ST1073	24800	25355
30262_ERX221156_ST1073	30384	32323
30262_ERX221156_ST1073	49351	49789
30262_ERX221156_ST1073	51759	55371
30262_ERX221156_ST1073	67059	67294
30262_ERX221156_ST1073	73009	74065
30262_ERX221156_ST1073	157001	157616
30262_ERX221156_ST1073	269800	270049
30262_ERX221156_ST1073	342702	343555
30262_ERX221156_ST1073	375757	376491
30262_ERX221156_ST1073	379415	380937
30262_ERX221156_ST1073	392931	395104
30262_ERX221156_ST1073	403993	404992
30262_ERX221156_ST1073	598947	599708
30262_ERX221156_ST1073	641639	642452
30262_ERX221156_ST1073	661516	662671
30262_ERX221156_ST1073	663950	665119
30262_ERX221156_ST1073	669768	670510
30262_ERX221156_ST1073	676816	679577
30262_ERX221156_ST1073	687755	688460
30262_ERX221156_ST1073	694000	694420
3704_ERX910051_ST1290	12720	13413
3704_ERX910051_ST1290	36411	36459
3704_ERX910051_ST1290	114128	114432
3704_ERX910051_ST1290	131461	131837
3704_ERX910051_ST1290	146509	146998
3704_ERX910051_ST1290	262029	262621
3704_ERX910051_ST1290	304891	305492
3704_ERX910051_ST1290	350651	350743
3704_ERX910051_ST1290	399769	400933
3704_ERX910051_ST1290	403960	404179
3704_ERX910051_ST1290	667915	669457
3704_ERX910051_ST1290	680068	680398
3704_ERX910051_ST1290	689507	690168
990_ERX1492898_ST2460	11832	12810
990_ERX1492898_ST2460	41108	41358
990_ERX1492898_ST2460	118570	118744
990_ERX1492898_ST2460	262090	262558
990_ERX1492898_ST2460	265576	265627
990_ERX1492898_ST2460	336312	337422
990_ERX1492898_ST2460	367316	367670
990_ERX1492898_ST2460	370648	371197
990_ERX1492898_ST2460	614051	615531
990_ERX1492898_ST2460	642747	643091
990_ERX1492898_ST2460	667556	668364
990_ERX1492898_ST2460	684910	685718
39625_ERX460155_ST2767	82964	83240
39625_ERX460155_ST2767	134388	135381
39625_ERX460155_ST2767	422973	424128
39625_ERX460155_ST2767	495174	496785
39625_ERX460155_ST2767	522420	523199
982_ERX1492889_ST692	6734	8645
982_ERX1492889_ST692	10590	11757
23982_ERX1033583_ST2682	41990	42095
418_ERX1033553_ST2328	41918	42772
418_ERX1033553_ST2328	258020	260595
418_ERX1033553_ST2328	395488	396238
4234_SRX1051553_ST1153	40445	41358
4234_SRX1051553_ST1153	44665	45716
4234_SRX1051553_ST1153	48524	48590
4234_SRX1051553_ST1153	118570	119236
4234_SRX1051553_ST1153	146216	147028
4234_SRX1051553_ST1153	206682	207229
4234_SRX1051553_ST1153	342243	343020
4234_SRX1051553_ST1153	403993	405715
4234_SRX1051553_ST1153	458433	459390
2626_ERX455900_ST2639	9878	12129
599_ERX110382_ST1207	425979	427371
599_ERX110382_ST1207	438474	440211
599_ERX110382_ST1207	457542	460784
599_ERX110382_ST1207	475174	476258
3322_ERX552176_ST80	10590	13758
3322_ERX552176_ST80	41255	41358
3322_ERX552176_ST80	45245	45860
3322_ERX552176_ST80	48524	48652
3322_ERX552176_ST80	118705	119715
3322_ERX552176_ST80	256192	256812
3322_ERX552176_ST80	262303	263494
3322_ERX552176_ST80	352603	353584
3322_ERX552176_ST80	381237	382237
3322_ERX552176_ST80	503078	503294
3322_ERX552176_ST80	613709	614129
3322_ERX552176_ST80	667718	668157
5771_ERX1285972_ST2569	5311	5696
5771_ERX1285972_ST2569	8933	11815
5771_ERX1285972_ST2569	13275	14611
5771_ERX1285972_ST2569	19736	20214
5771_ERX1285972_ST2569	24408	25526
5771_ERX1285972_ST2569	38002	38233
5771_ERX1285972_ST2569	40429	43931
5771_ERX1285972_ST2569	79875	80392
5771_ERX1285972_ST2569	110114	110663
5771_ERX1285972_ST2569	114142	114432
5771_ERX1285972_ST2569	118600	119011
5771_ERX1285972_ST2569	144200	146797
5771_ERX1285972_ST2569	148571	149444
5771_ERX1285972_ST2569	156626	158087
5771_ERX1285972_ST2569	172052	173855
5771_ERX1285972_ST2569	262307	263510
5771_ERX1285972_ST2569	265687	266290
5771_ERX1285972_ST2569	299547	300456
5771_ERX1285972_ST2569	304740	306488
5771_ERX1285972_ST2569	311417	311510
5771_ERX1285972_ST2569	316084	318334
5771_ERX1285972_ST2569	341151	341811
5771_ERX1285972_ST2569	356153	357701
5771_ERX1285972_ST2569	381263	381801
5771_ERX1285972_ST2569	384474	385400
5771_ERX1285972_ST2569	387048	387561
5771_ERX1285972_ST2569	389978	394194
5771_ERX1285972_ST2569	395794	396850
5771_ERX1285972_ST2569	401272	402166
5771_ERX1285972_ST2569	403987	405559
5771_ERX1285972_ST2569	415084	415601
5771_ERX1285972_ST2569	522413	522809
5771_ERX1285972_ST2569	614114	615539
5771_ERX1285972_ST2569	663393	669019
5771_ERX1285972_ST2569	674650	677662
5771_ERX1285972_ST2569	694033	695181
20348_SRX476963_ST109	41957	41969
9540_ERX552039_ST3784	386628	386664
2947_ERX490295_ST136	9452	11481
2947_ERX490295_ST136	83021	83189
2947_ERX490295_ST136	148727	148815
2947_ERX490295_ST136	220949	221201
2947_ERX490295_ST136	296058	296622
2947_ERX490295_ST136	346761	348733
2947_ERX490295_ST136	404005	405016
2947_ERX490295_ST136	676938	677501
31732_ERX490324_ST522	24321	24617
31732_ERX490324_ST522	41918	42061
31732_ERX490324_ST522	135245	136393
31732_ERX490324_ST522	157118	157523
31732_ERX490324_ST522	207107	207571
31732_ERX490324_ST522	229484	229778
31732_ERX490324_ST522	384419	385278
31732_ERX490324_ST522	445066	446296
31732_ERX490324_ST522	612644	612776
31732_ERX490324_ST522	672067	672355
2895_ERX490230_ST3142	13464	13597
2895_ERX490230_ST3142	30683	32588
2895_ERX490230_ST3142	37124	37482
2895_ERX490230_ST3142	45958	46183
2895_ERX490230_ST3142	58179	58532
2895_ERX490230_ST3142	124177	124334
2895_ERX490230_ST3142	192708	192996
2895_ERX490230_ST3142	241762	243048
2895_ERX490230_ST3142	391359	391617
2895_ERX490230_ST3142	400795	401422
2895_ERX490230_ST3142	614051	614336
12359_ERX1269274_ST913	32298	32377
12359_ERX1269274_ST913	41882	42551
12359_ERX1269274_ST913	45267	45386
12359_ERX1269274_ST913	52795	53232
12359_ERX1269274_ST913	70287	70914
12359_ERX1269274_ST913	111143	112326
12359_ERX1269274_ST913	200542	200614
12359_ERX1269274_ST913	304891	306261
12359_ERX1269274_ST913	308537	308978
12359_ERX1269274_ST913	456972	457428
12359_ERX1269274_ST913	503078	503435
12359_ERX1269274_ST913	570798	571081
12359_ERX1269274_ST913	663497	663691
12359_ERX1269274_ST913	670380	672118
12359_ERX1269274_ST913	674546	675563
4091_SRX1051402_ST582	178691	182736
4091_SRX1051402_ST582	184665	185248
4091_SRX1051402_ST582	192781	193179
4091_SRX1051402_ST582	201884	202429
4091_SRX1051402_ST582	205283	207184
4091_SRX1051402_ST582	213834	213963
4091_SRX1051402_ST582	248896	249316
4091_SRX1051402_ST582	254846	255138
7680_ERX360785_ST2160	5432	5606
7680_ERX360785_ST2160	8066	8228
7680_ERX360785_ST2160	23537	24534
7680_ERX360785_ST2160	114252	114319
7680_ERX360785_ST2160	134715	135684
7680_ERX360785_ST2160	516380	516410
7680_ERX360785_ST2160	601205	601694
7680_ERX360785_ST2160	609914	610181
7680_ERX360785_ST2160	658362	658581
7680_ERX360785_ST2160	677426	678029
7680_ERX360785_ST2160	684418	684895
4060_SRX1051368_ST1	48935	48939
15034_ERX376396_ST1094	4674	4767
15034_ERX376396_ST1094	9608	10927
15034_ERX376396_ST1094	26195	27443
15034_ERX376396_ST1094	51414	51516
15034_ERX376396_ST1094	53178	54513
15034_ERX376396_ST1094	108956	109364
15034_ERX376396_ST1094	128818	130096
15034_ERX376396_ST1094	200548	200948
15034_ERX376396_ST1094	218370	219478
15034_ERX376396_ST1094	269389	269846
15034_ERX376396_ST1094	338421	339528
15034_ERX376396_ST1094	341142	342710
15034_ERX376396_ST1094	361260	362417
15034_ERX376396_ST1094	387390	387728
15034_ERX376396_ST1094	390327	391473
15034_ERX376396_ST1094	397405	398548
15034_ERX376396_ST1094	401268	404140
15034_ERX376396_ST1094	545707	546118
15034_ERX376396_ST1094	555017	555104
15034_ERX376396_ST1094	612590	614300
15034_ERX376396_ST1094	643412	644714
15034_ERX376396_ST1094	662296	662764
15034_ERX376396_ST1094	665970	666405
15034_ERX376396_ST1094	680891	681031
1803_ERX267696_ST707	11292	11502
1803_ERX267696_ST707	12780	12924
1803_ERX267696_ST707	17079	17262
1803_ERX267696_ST707	32298	32364
1803_ERX267696_ST707	73107	74509
1803_ERX267696_ST707	82856	83189
1803_ERX267696_ST707	148727	148815
1803_ERX267696_ST707	350695	350995
1803_ERX267696_ST707	394561	396238
1803_ERX267696_ST707	544834	545134
1803_ERX267696_ST707	595289	595867
1803_ERX267696_ST707	598061	600335
1803_ERX267696_ST707	604199	605136
1641_ERX212158_ST177	15286	15652
1641_ERX212158_ST177	156371	157214
1641_ERX212158_ST177	242574	242847
1641_ERX212158_ST177	568151	569698
1641_ERX212158_ST177	633290	633408
3701_ERX910048_ST152	4865	6329
3701_ERX910048_ST152	8903	15439
3701_ERX910048_ST152	23780	24616
3701_ERX910048_ST152	37002	45836
3701_ERX910048_ST152	53482	56104
3701_ERX910048_ST152	124120	130812
3701_ERX910048_ST152	203446	205927
3701_ERX910048_ST152	213669	217112
3701_ERX910048_ST152	221564	223088
3701_ERX910048_ST152	241816	243663
3701_ERX910048_ST152	256145	259757
3701_ERX910048_ST152	293637	295302
3701_ERX910048_ST152	346761	349348
3701_ERX910048_ST152	354553	362134
3701_ERX910048_ST152	380433	381847
3701_ERX910048_ST152	392730	395593
3701_ERX910048_ST152	399330	406786
3701_ERX910048_ST152	436706	439173
3701_ERX910048_ST152	481331	482123
3701_ERX910048_ST152	522477	523478
3701_ERX910048_ST152	566622	571156
3701_ERX910048_ST152	604409	606327
3701_ERX910048_ST152	637261	642043
3701_ERX910048_ST152	650485	652665
3701_ERX910048_ST152	660352	664246
3701_ERX910048_ST152	671770	673863
3701_ERX910048_ST152	676666	678907
3701_ERX910048_ST152	685148	693533
23942_ERX1033560_ST126	11083	12477
23942_ERX1033560_ST126	31940	32340
23942_ERX1033560_ST126	34625	34765
23942_ERX1033560_ST126	41246	41591
23942_ERX1033560_ST126	114144	114362
23942_ERX1033560_ST126	118705	119440
23942_ERX1033560_ST126	367574	367670
23942_ERX1033560_ST126	374189	375585
23942_ERX1033560_ST126	403939	404179
23942_ERX1033560_ST126	503078	503435
23942_ERX1033560_ST126	521430	521701
23942_ERX1033560_ST126	613124	615531
23942_ERX1033560_ST126	642815	643091
23942_ERX1033560_ST126	679843	680441
375_ERX1027819_ST479	5012	5986
375_ERX1027819_ST479	52878	54324
375_ERX1027819_ST479	82771	83240
7782_ERX385118_ST580	33158	33581
7782_ERX385118_ST580	39302	39910
7782_ERX385118_ST580	53462	54960
7782_ERX385118_ST580	96272	96605
7782_ERX385118_ST580	115460	116159
7782_ERX385118_ST580	234152	234225
7782_ERX385118_ST580	256347	257369
7782_ERX385118_ST580	381113	381847
7782_ERX385118_ST580	384459	385318
7782_ERX385118_ST580	444132	444729
7782_ERX385118_ST580	518253	518685
7782_ERX385118_ST580	522908	523003
7782_ERX385118_ST580	546470	547556
7782_ERX385118_ST580	551225	551837
7782_ERX385118_ST580	555044	555107
7782_ERX385118_ST580	567318	567651
7782_ERX385118_ST580	629780	630548
7782_ERX385118_ST580	638470	638575
7782_ERX385118_ST580	663433	663676
7782_ERX385118_ST580	668242	668815
7782_ERX385118_ST580	679843	680874
7782_ERX385118_ST580	683240	684823
20395_SRX2369545_ST243	423693	433176
4267_SRX476967_ST3781	242679	242694
4267_SRX476967_ST3781	305474	305492
20066_ERX212156_ST816	10151	12924
20066_ERX212156_ST816	15034	15298
20066_ERX212156_ST816	204069	206074
20066_ERX212156_ST816	284917	286998
20066_ERX212156_ST816	359593	359937
20066_ERX212156_ST816	510778	511343
20066_ERX212156_ST816	544834	545134
20066_ERX212156_ST816	560937	561568
20066_ERX212156_ST816	580225	581045
20066_ERX212156_ST816	641890	643034
20066_ERX212156_ST816	663766	665334
20066_ERX212156_ST816	677128	677585
2807_ERX470753_ST3118	585389	585672
17790_SRX2219265_ST101	11052	14068
17790_SRX2219265_ST101	43380	46081
17790_SRX2219265_ST101	51744	52347
17790_SRX2219265_ST101	62228	62624
17790_SRX2219265_ST101	144860	147028
17790_SRX2219265_ST101	192781	192996
17790_SRX2219265_ST101	209404	209506
17790_SRX2219265_ST101	218893	220820
17790_SRX2219265_ST101	262057	262621
17790_SRX2219265_ST101	306168	306351
17790_SRX2219265_ST101	392691	394726
17790_SRX2219265_ST101	399545	399778
17790_SRX2219265_ST101	570106	570958
17790_SRX2219265_ST101	604857	605493
17790_SRX2219265_ST101	611966	615578
17790_SRX2219265_ST101	677426	677662
17790_SRX2219265_ST101	689282	689720
1756_ERX267645_ST2616	2147	2291
1756_ERX267645_ST2616	10304	10829
1756_ERX267645_ST2616	41918	42061
1756_ERX267645_ST2616	44338	45716
1756_ERX267645_ST2616	118796	119608
1756_ERX267645_ST2616	207107	207962
1756_ERX267645_ST2616	285340	285478
1756_ERX267645_ST2616	389720	390396
1756_ERX267645_ST2616	665012	665334
1756_ERX267645_ST2616	676723	677129
3086_ERX551158_ST3798	448076	448128
3427_ERX556656_ST1560	146191	146238
7790_ERX385128_ST3426	32288	34353
7790_ERX385128_ST3426	36411	39884
4109_SRX1051420_ST50	13444	13690
4109_SRX1051420_ST50	44326	44761
4109_SRX1051420_ST50	47228	47876
4109_SRX1051420_ST50	380517	383087
4109_SRX1051420_ST50	677006	677129
11864_ERX110757_ST2750	5009	5435
11864_ERX110757_ST2750	6917	8168
11864_ERX110757_ST2750	186275	186464
11864_ERX110757_ST2750	189372	189504
11864_ERX110757_ST2750	192781	192981
11864_ERX110757_ST2750	213834	214035
11864_ERX110757_ST2750	405454	406138
11864_ERX110757_ST2750	537586	538998
11864_ERX110757_ST2750	580731	581174
11864_ERX110757_ST2750	598052	598460
11864_ERX110757_ST2750	614910	615512
11864_ERX110757_ST2750	633290	633821
11864_ERX110757_ST2750	675161	676343
11864_ERX110757_ST2750	679216	680347
11864_ERX110757_ST2750	684410	685505
11864_ERX110757_ST2750	691336	691711
4290_SRX477027_ST45	470633	472406
4290_SRX477027_ST45	476159	479336
4290_SRX477027_ST45	485996	487436
12495_ERX1285974_ST2533	12021	14170
12495_ERX1285974_ST2533	23099	23453
12495_ERX1285974_ST2533	32102	32364
12495_ERX1285974_ST2533	38125	44008
12495_ERX1285974_ST2533	47417	48815
12495_ERX1285974_ST2533	55587	56008
12495_ERX1285974_ST2533	135616	135828
12495_ERX1285974_ST2533	156986	157118
12495_ERX1285974_ST2533	176325	180848
12495_ERX1285974_ST2533	203128	205309
12495_ERX1285974_ST2533	240527	241121
12495_ERX1285974_ST2533	242508	242784
12495_ERX1285974_ST2533	248020	248877
12495_ERX1285974_ST2533	261997	264211
12495_ERX1285974_ST2533	269104	269749
12495_ERX1285974_ST2533	304788	306800
12495_ERX1285974_ST2533	316975	317169
12495_ERX1285974_ST2533	342117	342660
12495_ERX1285974_ST2533	350651	350971
12495_ERX1285974_ST2533	358132	359022
12495_ERX1285974_ST2533	387378	389211
12495_ERX1285974_ST2533	444239	447205
12495_ERX1285974_ST2533	475867	477308
12495_ERX1285974_ST2533	521268	521715
12495_ERX1285974_ST2533	580306	581015
12495_ERX1285974_ST2533	642815	643190
12495_ERX1285974_ST2533	663766	664698
12495_ERX1285974_ST2533	667921	669777
12495_ERX1285974_ST2533	680086	680366
905_ERX139326_ST718	5102	5472
905_ERX139326_ST718	13474	13690
905_ERX139326_ST718	148784	148815
905_ERX139326_ST718	205155	206995
905_ERX139326_ST718	288351	288944
905_ERX139326_ST718	355419	357473
905_ERX139326_ST718	360124	360619
905_ERX139326_ST718	400519	402118
905_ERX139326_ST718	444330	444958
905_ERX139326_ST718	510911	511324
905_ERX139326_ST718	536994	537426
905_ERX139326_ST718	545413	545977
NODE_393	468539	472604
NODE_393	475235	487733
NODE_393	522902	523103
NODE_394	6800	7856
NODE_394	14959	15670
NODE_394	33399	36045
NODE_394	44518	45779
NODE_394	49351	52926
NODE_394	87717	88544
NODE_394	101846	105351
NODE_394	117751	118907
NODE_394	145976	146282
NODE_394	177985	178409
NODE_394	337178	343188
NODE_394	370903	371470
NODE_394	387402	388851
NODE_394	506120	507298
NODE_394	517456	520260
NODE_394	528595	528644
NODE_394	569620	569734
NODE_394	586435	587106
NODE_394	596038	602393
NODE_394	604688	605004
NODE_394	607880	610367
NODE_394	613145	616956
NODE_394	632315	635984
NODE_394	654504	654836
NODE_394	662958	665292
NODE_394	676980	681487
NODE_394	686717	688352
NODE_397	16414	16663
NODE_397	692389	692490
NODE_398	1	15631
NODE_398	692974	700539
NODE_414	24321	25325
NODE_414	30575	32400
NODE_414	50051	55745
NODE_414	200815	200872
NODE_414	247371	247816
NODE_414	288128	288520
NODE_414	342792	343047
NODE_414	444910	444955
NODE_414	534522	534938
NODE_414	554074	556430
NODE_414	567318	567651
NODE_414	662399	663507
NODE_414	668359	668815
NODE_414	679843	681071
NODE_434	14977	15619
NODE_434	40991	41759
NODE_434	44569	45005
NODE_434	49345	50521
NODE_434	114163	114492
NODE_434	148682	149039
NODE_434	156947	158226
NODE_434	204974	206122
NODE_434	251718	252454
NODE_434	266215	266623
NODE_434	284728	285994
NODE_434	545741	546278
NODE_434	600242	600650
NODE_434	603427	605396
NODE_434	620250	620958
NODE_434	640724	640888
NODE_434	677483	678029
NODE_436	10629	12369
NODE_436	30673	31287
NODE_436	40991	41677
NODE_436	51813	54351
NODE_436	58157	58238
NODE_436	66826	67178
NODE_436	70164	71253
NODE_436	110283	110480
NODE_436	269389	269846
NODE_436	536497	537909
NODE_436	555044	555332
NODE_436	612590	612746
NODE_436	677029	677663
NODE_436	683642	685691
NODE_436	694306	694318
NODE_437	11380	11667
NODE_437	55650	55885
NODE_437	61298	61436
NODE_437	111983	112931
NODE_437	115115	115424
NODE_437	120385	120469
NODE_437	254725	255264
NODE_437	275251	275461
NODE_437	340218	341043
NODE_437	349165	349417
NODE_437	385872	386286
NODE_437	434574	435663
NODE_437	501884	503513
NODE_437	508283	509357
NODE_437	595699	595819
NODE_437	612761	612776
NODE_437	650695	650722
NODE_437	677060	677282
NODE_438	5189	7137
NODE_438	66335	67294
NODE_438	69927	71757
NODE_438	74065	74531
NODE_438	104640	104956
NODE_438	166775	166898
NODE_438	472454	472868
NODE_438	521634	521715
NODE_438	580312	580438
NODE_438	584947	585061
NODE_438	677474	677609
NODE_442	12571	14061
NODE_442	30673	32307
NODE_442	41918	42061
NODE_442	97274	98351
NODE_442	126076	126428
NODE_442	173474	173870
NODE_442	237572	237644
NODE_442	256245	256458
NODE_442	341604	342186
NODE_442	399417	399927
NODE_442	404455	404588
NODE_442	415868	416298
NODE_442	508083	509492
NODE_442	541504	541645
NODE_442	632720	633299
NODE_443	15571	15652
NODE_443	23100	23327
NODE_443	134790	136066
NODE_443	144281	145627
NODE_443	157745	158472
NODE_443	174641	175175
NODE_443	299637	300555
NODE_443	306170	306824
NODE_443	347882	348037
NODE_443	387354	387837
NODE_443	455559	455739
NODE_443	504851	505388
NODE_443	534524	535877
NODE_443	640724	640888
NODE_443	687604	687908
NODE_444	4944	5432
NODE_444	44431	45030
NODE_444	229720	231194
NODE_444	242679	242854
NODE_444	362021	362299
NODE_444	407071	407950
NODE_444	510733	511585
NODE_444	534884	535554
NODE_444	579138	579709
NODE_444	685277	685421
NODE_472	4944	5927
NODE_472	134559	135279
NODE_472	677128	677236
NODE_482	2163	2456
NODE_482	44338	44761
NODE_482	72721	74242
NODE_482	103187	104396
NODE_482	188326	188839
NODE_482	599678	600335
NODE_482	676723	677585
NODE_499	4784	5735
NODE_499	82871	83240
NODE_499	263810	264571
NODE_499	284005	287421
NODE_499	346861	347182
NODE_499	364523	364961
NODE_499	382533	383136
NODE_499	601079	601313
NODE_499	642043	642855
NODE_503	193161	194962
NODE_503	196348	196738
NODE_503	204227	204412
NODE_503	206992	207571
NODE_520	168980	181616
NODE_520	182736	183193
NODE_520	202368	205117
NODE_520	206954	208039
NODE_520	209791	210430
NODE_526	10854	14061
NODE_526	119137	119755
NODE_526	205903	207040
NODE_526	578748	579823
NODE_526	611804	612289
NODE_526	614930	615356
NODE_526	665052	665335
NODE_529	12780	12924
NODE_529	44540	45770
NODE_529	140254	141802
NODE_529	148791	148857
NODE_529	380656	382191
NODE_529	579138	579436
NODE_530	10854	12399
NODE_530	242679	242847
NODE_530	535375	535554
NODE_530	580279	580603
NODE_530	677128	677236
NODE_531	24579	25193
NODE_531	39094	40534
NODE_531	200528	200626
NODE_531	380232	382883
NODE_531	387585	387618
NODE_531	601079	601556
NODE_531	676723	677236
NODE_535	4674	5315
NODE_535	131476	132460
NODE_535	134388	134973
NODE_535	138445	138775
NODE_535	141489	141887
NODE_535	165776	165908
NODE_535	342915	342987
NODE_535	360413	360745
NODE_535	414269	414698
NODE_535	434487	434718
NODE_535	486551	487010
NODE_535	518253	519903
NODE_535	583414	584845
NODE_535	604857	604899
NODE_535	638252	638580
NODE_535	683117	683252
NODE_535	687167	687581
NODE_536	5012	6116
NODE_536	11925	12984
NODE_536	148568	148815
NODE_536	205403	206074
NODE_536	522898	524942
NODE_536	665073	665334
NODE_538	5135	5995
NODE_538	11520	12924
NODE_538	15082	15298
NODE_538	41918	42029
NODE_538	44563	44761
NODE_538	206954	208820
NODE_538	283846	285007
NODE_538	309425	311189
NODE_538	396192	396475
NODE_538	674536	674945
NODE_538	677128	677236
NODE_539	5135	5558
NODE_539	41918	42061
NODE_539	82856	83240
NODE_539	156902	157523
NODE_539	381482	382956
NODE_539	440706	440937
NODE_539	464825	465719
NODE_539	515642	517223
NODE_540	53883	54723
NODE_540	73657	74511
NODE_540	82619	85038
NODE_540	92389	92493
NODE_540	172052	172310
NODE_540	201544	201838
NODE_540	368003	368201
NODE_540	371062	372157
NODE_540	393724	394825
NODE_540	496590	497589
NODE_540	509725	510601
NODE_540	677029	678107
NODE_541	50988	51615
NODE_541	126415	126482
NODE_541	221030	221909
NODE_541	259463	260013
NODE_541	300198	300246
NODE_541	570532	571081
NODE_541	662704	662764
NODE_542	32298	32364
NODE_542	194824	194959
NODE_542	294936	295632
NODE_542	372250	372909
NODE_542	440706	440937
NODE_542	482282	482617
NODE_542	516308	517223
NODE_542	613145	613877
NODE_542	637961	638837
NODE_542	669868	670486
NODE_543	69250	70383
NODE_543	73420	74509
NODE_543	119195	119608
NODE_543	206954	207619
NODE_543	350695	351075
NODE_544	2090	2156
NODE_544	41918	42029
NODE_544	54609	54741
NODE_544	344286	344454
NODE_544	347383	348037
NODE_544	564789	565077
NODE_544	584104	584524
NODE_545	4823	5169
NODE_545	254890	255100
NODE_545	468577	468746
NODE_546	32298	32400
NODE_546	135616	135999
NODE_546	156362	156902
NODE_546	234137	234197
NODE_546	262955	263779
NODE_546	266806	266888
NODE_546	373116	373482
NODE_546	501884	503870
NODE_546	504805	506382
NODE_546	522821	523003
NODE_546	555074	555161
NODE_546	658941	659088
NODE_547	4932	5471
NODE_547	24321	24468
NODE_547	350698	350962
NODE_547	404005	404293
NODE_547	497475	497934
NODE_547	580180	581028
NODE_548	5156	5990
NODE_548	23780	24002
NODE_548	40908	42061
NODE_548	47576	47876
NODE_548	141347	142035
NODE_548	205253	205813
NODE_548	576580	577414
NODE_548	602111	602168
NODE_548	612644	612776
NODE_549	51708	51978
NODE_550	38996	39389
NODE_550	41942	42020
NODE_550	223797	224022
NODE_552	24321	25577
