Parameter	Posterior Mean	Posterior Variance	a_post	b_post
14448|ERX204858|ST3310	1.88182e-05	2.6474e-11	13.3763	710817
2951|ERX490299|ST3721	0.000104878	1.47725e-10	74.4579	709951
17757|SRX2219177|ST26	5.49725e-05	7.73672e-11	39.0602	710540
1512|ERX209308|ST3114	5.36166e-05	7.54579e-11	38.0972	710549
4228|SRX1051547|ST3458	6.08045e-05	8.55975e-11	43.1927	710354
1706|ERX221188|ST3127	4.96147e-05	6.98226e-11	35.2553	710582
3905|ERX979780|ST611	8.44592e-05	1.18904e-10	59.9927	710316
15208|ERX385388|ST333	3.88827e-05	5.47136e-11	27.6324	710660
3704|ERX910051|ST1290	0.000946152	1.43848e-09	622.327	657745
2430|ERX359416|ST3138	6.203e-05	8.73227e-11	44.0632	710354
12284|ERX1269132|ST3790	2.01471e-05	2.83441e-11	14.3207	710806
3724|ERX926274|ST3894	4.08858e-06	5.75105e-12	2.90669	710928
981|ERX1492888|ST1581	4.08173e-06	5.74142e-12	2.90182	710927
4242|SRX1051561|ST3452	5.75585e-05	8.1011e-11	40.8955	710503
2713|ERX470614|ST2490	0.000140909	1.98638e-10	99.9573	709376
1663|ERX221133|ST71	6.83684e-05	9.62342e-11	48.5715	710438
6782|ERX197833|ST2934	5.76448e-05	8.11305e-11	40.9577	710519
4278|SRX477009|ST72	5.18502e-05	7.29899e-11	36.8331	710375
2698|ERX460160|ST3092	8.29388e-05	1.16794e-10	58.8972	710129
990|ERX1492898|ST2460	0.00140094	2.1547e-09	910.868	650181
1291|ERX186293|ST3132	0.000181573	2.56247e-10	128.66	708586
831|ERX139238|ST3123	8.07792e-05	1.13776e-10	57.3519	709984
4183|SRX1051497|ST946	8.76906e-05	1.23473e-10	62.2779	710200
624|ERX110422|ST229	1.21236e-05	1.70547e-11	8.61829	710867
23940|ERX1033551|ST2766	0.000131192	1.84931e-10	93.069	709411
435|ERX1033572|ST3061	4.05048e-05	5.70097e-11	28.7783	710491
756|ERX132283|ST2014	3.10825e-05	4.37423e-11	22.0867	710583
3074|ERX551145|ST3772	2.01587e-05	2.83602e-11	14.3289	710807
15046|ERX376412|ST2417	5.65852e-05	7.96536e-11	40.1977	710391
12063|ERX113973|ST232	4.02374e-05	5.66204e-11	28.5948	710653
29940|SRX2147155|ST923	4.17446e-05	5.87522e-11	29.6604	710520
6775|ERX197772|ST3141	4.55681e-05	6.41391e-11	32.3742	710457
7808|ERX385188|ST3456	2.55105e-05	3.58916e-11	18.132	710766
2785|ERX470730|ST121	0.000199107	2.80873e-10	141.143	708884
39625|ERX460155|ST2767	0.00148747	2.28444e-09	968.533	651129
3229|ERX552062|ST1016	4.29134e-05	6.03876e-11	30.4956	710632
8018|ERX385531|ST3074	4.05649e-05	5.70914e-11	28.8224	710526
2800|ERX470745|ST1797	5.89745e-05	8.30033e-11	41.9018	710508
1488|ERX197824|ST2899	2.68462e-05	3.77715e-11	19.0811	710755
2378|ERX359340|ST3090	6.0603e-05	8.5313e-11	43.05	710361
982|ERX1492889|ST692	0.000119422	1.69179e-10	84.299	705890
4050|SRX1051358|ST1693	2.1489e-05	3.02323e-11	15.2743	710796
4120|SRX1051431|ST188	6.19429e-05	8.71983e-11	44.0023	710368
14479|ERX212185|ST3349	8.77327e-05	1.23557e-10	62.2956	710061
12260|ERX1269101|ST3806	8.10289e-06	1.13981e-11	5.76032	710897
883|ERX139300|ST3106	9.91572e-05	1.3962e-10	70.421	710195
341|ERX094780|ST22	6.76427e-06	9.51497e-12	4.80877	710908
4277|SRX477008|ST1564	7.11418e-05	1.00163e-10	50.5293	710261
839|ERX139247|ST3097	9.10773e-05	1.28232e-10	64.6878	710252
3089|ERX551161|ST3805	2.28191e-05	3.21042e-11	16.2194	710783
37980|ERX152017|ST446	4.94045e-05	6.953e-11	35.1043	710549
260|ERX067791|ST1352	6.0142e-05	8.46642e-11	42.7224	710359
23982|ERX1033583|ST2682	8.68962e-05	1.22385e-10	61.6982	710022
4034|SRX1051339|ST1534	4.82119e-05	6.78751e-11	34.2451	710304
1324|ERX186326|ST3111	3.38201e-05	4.75956e-11	24.0316	710571
6076|ERX139448|ST219	1.74688e-05	2.45754e-11	12.4173	710826
2958|ERX490306|ST3044	3.09457e-05	4.35603e-11	21.9842	710411
1162|ERX152056|ST3109	5.89881e-05	8.30222e-11	41.9116	710510
18301|SRX791926|ST3170	7.92551e-05	1.11672e-10	56.2485	709715
23709|ERX385162|ST3559	4.5603e-05	6.41741e-11	32.4061	710613
34641|SRX866194|ST425	7.53969e-05	1.06184e-10	53.5363	710060
12194|ERX1268913|ST737	6.67536e-05	9.39962e-11	47.4066	710174
621|ERX110417|ST149	7.4902e-05	1.05534e-10	53.161	709741
6210|ERX139609|ST2391	1.61335e-05	2.26965e-11	11.4683	710836
7945|ERX385448|ST3459	6.83696e-05	9.62357e-11	48.5724	710438
418|ERX1033553|ST2328	0.00116717	1.75659e-09	775.526	664452
1809|ERX275992|ST3094	5.89907e-05	8.30259e-11	41.9135	710510
6920|ERX209541|ST3348	2.39667e-05	3.37208e-11	17.0341	710740
7936|ERX385430|ST3430	6.73385e-05	9.48232e-11	47.8203	710148
23668|ERX385214|ST3532	5.3529e-05	7.53365e-11	38.0341	710532
433|ERX1033570|ST2377	1.82751e-05	2.57172e-11	12.9866	710617
17804|SRX2219480|ST338	8.32943e-05	1.17282e-10	59.1562	710207
40654|ERX110372|ST20	7.11169e-05	1.00128e-10	50.5117	710263
6005|ERX139357|ST2161	1.21212e-05	1.70513e-11	8.61659	710867
7814|ERX385218|ST3457	3.99504e-05	5.622e-11	28.3891	710609
614|ERX110407|ST36	1.68298e-05	2.36873e-11	11.9575	710497
4000|SRX1051301|ST250	1.21189e-05	1.70481e-11	8.61496	710867
11786|ERX110650|ST2440	1.88211e-05	2.64781e-11	13.3783	710817
3630|ERX589416|ST3692	0.000189218	2.66995e-10	134.099	708698
12322|ERX1269223|ST2626	5.21098e-05	7.33544e-11	37.018	710384
679|ERX120724|ST227	2.38895e-05	3.3625e-11	16.9728	710469
12404|ERX1269490|ST3795	9.44186e-06	1.32818e-11	6.7121	710887
27072|ERX376432|ST2438	6.34885e-05	8.93783e-11	45.0981	710335
19688|ERX359456|ST3140	0.000106582	1.50181e-10	75.6398	709690
4234|SRX1051553|ST1153	0.00126516	1.92835e-09	830.053	656085
12101|ERX116909|ST3359	1.21222e-05	1.70527e-11	8.61727	710867
2626|ERX455900|ST2639	0.000272762	3.86811e-10	192.34	705156
27031|ERX376440|ST2439	4.86583e-05	6.84905e-11	34.5688	710439
599|ERX110382|ST1207	9.99074e-05	1.43918e-10	69.3556	694199
4052|SRX1051360|ST3467	3.08715e-05	4.34366e-11	21.9411	710725
3032|ERX490399|ST3137	0.000116091	1.63552e-10	82.4019	709807
1182|ERX152079|ST3110	6.32469e-05	8.90356e-11	44.9277	710355
7879|ERX385327|ST95	0.000103044	1.45193e-10	73.1311	709705
1372|ERX186568|ST1586	1.34559e-05	1.89291e-11	9.56518	710856
2598|ERX455872|ST3119	2.95324e-05	4.15519e-11	20.9898	710736
6861|ERX209423|ST3346	2.01569e-05	2.83577e-11	14.3276	710806
20075|ERX212124|ST3096	2.01555e-05	2.83558e-11	14.3267	710806
40373|SRX2122523|ST225	1.47997e-05	2.08198e-11	10.5203	710847
6855|ERX209409|ST3344	1.61328e-05	2.26955e-11	11.4678	710836
2352|ERX359308|ST3716	4.69384e-05	6.60543e-11	33.3545	710603
2761|ERX470705|ST2430	9.12789e-05	1.28595e-10	64.7912	709816
1752|ERX267641|ST1958	9.43332e-05	1.32876e-10	66.9704	709934
4204|SRX1051522|ST39	5.49879e-05	7.73885e-11	39.0712	710543
7111|ERX276099|ST216	2.14909e-05	3.0235e-11	15.2757	710796
2458|ERX359449|ST3117	7.30921e-05	1.02903e-10	51.9175	710303
7930|ERX385418|ST1532	3.08748e-05	4.34413e-11	21.9435	710726
3322|ERX552176|ST80	0.000964142	1.45684e-09	638.074	661805
4283|SRX477016|ST3812	3.53137e-05	4.97007e-11	25.0914	710528
600|ERX110385|ST2031	2.14935e-05	3.02386e-11	15.2775	710796
870|ERX139284|ST1957	5.7044e-05	8.03168e-11	40.5148	710238
1583|ERX212094|ST1709	2.47896e-05	3.4882e-11	17.6172	710669
39019|ERX209354|ST3103	4.29246e-05	6.04033e-11	30.5037	710634
1799|ERX267690|ST254	6.58369e-05	9.27063e-11	46.7552	710167
4094|SRX1051405|ST291	4.29063e-05	6.03778e-11	30.4906	710631
14614|ERX276156|ST3317	1.4802e-05	2.08231e-11	10.522	710847
31743|ERX490292|ST3720	8.82652e-05	1.24273e-10	62.6903	710250
8017|ERX385530|ST3446	3.10929e-05	4.37574e-11	22.0938	710573
3090|ERX551162|ST3767	6.70309e-05	9.435e-11	47.622	710449
1338|ERX186340|ST3108	4.41051e-05	6.20678e-11	31.341	710596
5771|ERX1285972|ST2569	0.0012149	1.95749e-09	754.019	620642
4501|SRX887142|ST1232	4.1527e-05	5.84365e-11	29.5104	710634
23955|ERX1033561|ST2849	5.82025e-05	8.1947e-11	41.3381	710246
20348|SRX476963|ST109	5.32664e-05	7.50076e-11	37.827	710147
14494|ERX212212|ST3350	1.88114e-05	2.64645e-11	13.3714	710816
2970|ERX490319|ST701	6.18277e-05	8.7037e-11	43.92	710361
3634|ERX589420|ST2305	2.28349e-05	3.21263e-11	16.2307	710786
40351|SRX2122562|ST3885	1.21218e-05	1.70521e-11	8.61698	710867
4419|SRX887024|ST2197	1.61394e-05	2.27048e-11	11.4725	710837
9540|ERX552039|ST3784	0.000100865	1.42211e-10	71.5397	709262
2439|ERX359425|ST3120	0.000105096	1.48033e-10	74.6124	709949
15094|ERX384792|ST3529	2.14806e-05	3.02205e-11	15.2683	710795
4184|SRX1051498|ST3932	4.29003e-05	6.03695e-11	30.4862	710629
15199|ERX385359|ST3423	1.61373e-05	2.27018e-11	11.471	710837
31746|ERX490376|ST3617	1.88207e-05	2.64776e-11	13.3781	710817
6140|ERX139517|ST1540	2.14901e-05	3.02339e-11	15.2751	710796
7998|ERX385510|ST3437	5.49898e-05	7.73912e-11	39.0726	710543
4167|SRX1051481|ST30	5.27893e-05	7.4317e-11	37.4976	710326
2947|ERX490295|ST136	0.00138281	2.12266e-09	900.837	651453
7803|ERX385143|ST3449	3.756e-05	5.28513e-11	26.6929	710674
2359|ERX359315|ST3088	2.55056e-05	3.58847e-11	18.1285	710765
2934|ERX490281|ST132	3.48708e-05	4.9066e-11	24.7825	710693
14455|ERX204870|ST3311	1.34539e-05	1.89264e-11	9.56382	710856
23706|ERX385171|ST3530	5.81994e-05	8.19393e-11	41.3376	710275
1690|ERX221167|ST133	6.37237e-05	8.9703e-11	45.2683	710385
808|ERX132355|ST3095	5.63188e-05	7.92629e-11	40.0163	710531
31732|ERX490324|ST522	0.00115176	1.74565e-09	759.919	659788
2895|ERX490230|ST3142	0.000667979	9.84852e-10	453.059	678253
12359|ERX1269274|ST913	0.000867926	1.30659e-09	576.536	664268
877|ERX139294|ST1956	0.000171071	2.41168e-10	121.348	709344
1774|ERX267665|ST3366	3.48844e-05	4.90849e-11	24.7921	710694
675|ERX120720|ST130	2.95247e-05	4.15411e-11	20.9842	710735
10731|SRX864956|ST700	3.80183e-05	5.35049e-11	27.0142	710558
2824|ERX490129|ST750	0.000110788	1.56028e-10	78.6648	710051
625|ERX110424|ST2894	1.2116e-05	1.7044e-11	8.61285	710867
3344|ERX552208|ST228	7.77442e-05	1.09442e-10	55.2269	710366
4091|SRX1051402|ST582	0.000116319	1.6627e-10	81.3745	699580
1144|ERX152032|ST3104	9.22193e-05	1.29931e-10	65.4533	709757
636|ERX120678|ST1526	3.48865e-05	4.90879e-11	24.7937	710695
7680|ERX360785|ST2160	0.00106736	1.59565e-09	713.984	668922
4130|SRX1051441|ST182	9.62515e-05	1.35531e-10	68.3559	710180
7856|ERX385293|ST3470	6.02579e-05	8.48561e-11	42.7903	710119
4060|SRX1051368|ST1	2.81984e-05	3.96816e-11	20.0382	710616
2617|ERX455891|ST3105	5.42182e-06	7.62651e-12	3.85446	710917
11771|ERX110631|ST828	2.52331e-05	3.55036e-11	17.9337	710720
5777|ERX1285993|ST730	6.70289e-05	9.43473e-11	47.6206	710448
2774|ERX470719|ST1820	1.61347e-05	2.26982e-11	11.4692	710836
6972|ERX212248|ST3358	2.01445e-05	2.83404e-11	14.3188	710805
1431|ERX186635|ST1579	6.03453e-05	8.49515e-11	42.8662	710350
34160|ERX384688|ST1536	6.83742e-05	9.62422e-11	48.5757	710439
23655|ERX385155|ST46	0.000101699	1.43278e-10	72.1861	709801
3549|ERX556785|ST3762	1.07417e-05	1.51105e-11	7.63597	710873
15034|ERX376396|ST1094	0.000608255	9.19678e-10	402.287	661378
1797|ERX267688|ST1764	4.15773e-05	5.85066e-11	29.5466	710643
12337|ERX1269245|ST789	4.96045e-05	6.98085e-11	35.2479	710579
4110|SRX1051421|ST3455	2.01578e-05	2.83591e-11	14.3283	710806
823|ERX132371|ST2024	7.22493e-05	1.01739e-10	51.3073	710142
12482|ERX1269772|ST3788	1.49542e-05	2.10422e-11	10.6275	710674
1803|ERX267696|ST707	0.00126794	1.94396e-09	827.011	652248
3633|ERX589419|ST433	9.75945e-05	1.37487e-10	69.2769	709844
4192|SRX1051508|ST1165	4.15694e-05	5.84957e-11	29.5409	710641
1552|ERX209366|ST3136	1.48016e-05	2.08225e-11	10.5217	710847
7826|ERX385260|ST3443	3.35392e-05	4.71916e-11	23.8365	710704
5402|ERX110871|ST3316	2.41737e-05	3.40103e-11	17.1821	710776
12318|ERX1269214|ST2689	9.92483e-05	1.39816e-10	70.4514	709850
27047|ERX376477|ST2443	4.20813e-05	5.92385e-11	29.8934	710372
23092|SRX1051309|ST54	5.34226e-05	7.52159e-11	37.9437	710256
15064|ERX376448|ST2452	4.28355e-05	6.02793e-11	30.4396	710617
7933|ERX385423|ST630	3.75599e-05	5.28512e-11	26.6928	710673
1424|ERX186628|ST1245	2.68554e-05	3.77843e-11	19.0876	710756
1547|ERX209359|ST3116	6.21835e-05	8.75347e-11	44.1743	710386
15043|ERX376407|ST2437	2.70228e-05	3.80273e-11	19.2028	710615
353|ERX100648|ST218	1.21135e-05	1.70405e-11	8.61109	710866
1777|ERX267668|ST521	0.000153607	2.16556e-10	108.956	709316
18303|SRX791933|ST3173	7.5142e-05	1.05834e-10	53.3506	709996
4287|SRX477024|ST552	3.0842e-05	4.33952e-11	21.9201	710722
1134|ERX152020|ST138	6.83776e-05	9.62697e-11	48.5667	710272
2704|ERX470605|ST1945	6.70243e-05	9.43409e-11	47.6173	710448
4199|SRX1051516|ST6	2.14891e-05	3.02325e-11	15.2744	710796
1641|ERX212158|ST177	0.00192542	2.99145e-09	1239.28	643641
4237|SRX1051556|ST34	9.64553e-05	1.3586e-10	68.4795	709961
31740|ERX490237|ST419	5.63198e-05	7.92643e-11	40.0169	710531
1131|ERX152013|ST2179	0.000142556	2.00943e-10	101.135	709438
15219|ERX385405|ST3435	1.3682e-05	1.92525e-11	9.72327	710662
3703|ERX910050|ST97	9.09743e-05	1.28144e-10	64.5862	709939
2779|ERX470724|ST88	1.07737e-05	1.51556e-11	7.65879	710876
2592|ERX455866|ST3091	2.55051e-05	3.5884e-11	18.1281	710765
9554|ERX552134|ST3778	2.01478e-05	2.8345e-11	14.3212	710805
3441|ERX556673|ST3691	3.89021e-05	5.47405e-11	27.6463	710664
3701|ERX910048|ST152	0.00434702	8.83358e-09	2139.17	492101
23942|ERX1033560|ST126	0.00126838	1.9291e-09	833.952	657496
7804|ERX385144|ST3454	6.28748e-05	8.85371e-11	44.6506	710151
1303|ERX186305|ST3133	3.20129e-05	4.50453e-11	22.751	710682
3429|ERX556658|ST3760	5.02591e-05	7.07457e-11	35.7051	710420
2955|ERX490303|ST3837	0.000115374	1.62536e-10	81.8966	709836
4179|SRX1051493|ST25	5.01351e-05	7.058e-11	35.6125	710330
931|ERX147798|ST247	5.76683e-05	8.11786e-11	40.9669	710388
15210|ERX385391|ST81	9.14272e-05	1.28807e-10	64.8953	709802
973|ERX147854|ST2046	2.61687e-05	3.68277e-11	18.5947	710571
3759|ERX926370|ST3881	4.08474e-06	5.74565e-12	2.90396	710928
4141|SRX1051454|ST3468	3.62188e-05	5.09633e-11	25.7401	710683
9525|ERX551557|ST3774	3.48541e-05	4.90428e-11	24.7704	710688
979|ERX1492886|ST1583	1.07795e-05	1.51636e-11	7.66288	710877
375|ERX1027819|ST479	0.00175613	2.70843e-09	1138.66	648394
5564|ERX113350|ST830	2.41663e-05	3.39999e-11	17.1768	710775
7782|ERX385118|ST580	0.000605205	9.03454e-10	405.415	669880
20395|SRX2369545|ST243	6.66138e-05	9.49466e-11	46.7358	701593
5401|ERX110870|ST94	0.00011102	1.5635e-10	78.8325	710074
1837|ERX276022|ST3139	2.99848e-05	4.21989e-11	21.3059	710557
4267|SRX476967|ST3781	1.34695e-05	1.89559e-11	9.57104	710571
20066|ERX212156|ST816	0.00114917	1.74497e-09	756.801	658562
15215|ERX385397|ST3535	4.96129e-05	6.98201e-11	35.254	710582
2807|ERX470753|ST3118	2.82105e-05	3.97143e-11	20.0389	710336
3098|ERX551171|ST3773	4.08399e-06	5.74459e-12	2.90342	710928
2350|ERX359306|ST2676	8.47685e-05	1.19424e-10	60.1697	709812
7898|ERX385356|ST3427	5.89873e-05	8.30211e-11	41.911	710509
31710|ERX490131|ST1729	0.000110653	1.55916e-10	78.5303	709698
1677|ERX221148|ST398	1.21178e-05	1.70466e-11	8.61417	710867
1355|ERX186358|ST3093	2.08441e-05	2.9333e-11	14.8118	710600
641|ERX120683|ST1943	1.881e-05	2.64625e-11	13.3704	710816
12080|ERX114014|ST3314	1.2119e-05	1.70482e-11	8.61502	710867
2925|ERX490270|ST2488	9.58283e-05	1.34991e-10	68.0272	709886
17790|SRX2219265|ST101	0.00126468	1.94071e-09	824.144	651661
2630|ERX455904|ST2640	0.000139455	1.96509e-10	98.9662	709664
850|ERX139260|ST3107	4.2319e-05	5.95659e-11	30.0659	710457
841|ERX139249|ST1021	9.12445e-05	1.28487e-10	64.7966	710143
15086|ERX384694|ST2047	6.32945e-05	8.91016e-11	44.9621	710363
1756|ERX267645|ST2616	0.00139305	2.12244e-09	914.323	656345
23097|SRX1051572|ST508	9.39855e-05	1.32418e-10	66.7077	709766
2834|ERX490145|ST3718	7.28371e-05	1.02556e-10	51.7301	710216
7870|ERX385312|ST1224	2.14951e-05	3.02409e-11	15.2787	710796
1714|ERX221198|ST1859	8.62772e-05	1.21508e-10	61.2616	710055
1765|ERX267656|ST3365	0.000142698	2.01199e-10	101.207	709238
1754|ERX267643|ST1944	4.00275e-05	5.63279e-11	28.4442	710616
314|ERX094751|ST2893	1.74805e-05	2.45918e-11	12.4256	710827
2465|ERX359459|ST2826	0.000107248	1.511e-10	76.1227	709783
409|ERX1033539|ST1570	3.0872e-05	4.34373e-11	21.9415	710725
3086|ERX551158|ST3798	1.07792e-05	1.5167e-11	7.66071	710696
4087|SRX1051398|ST3931	4.1568e-05	5.84936e-11	29.54	710642
4123|SRX1051434|ST59	4.72706e-05	6.65354e-11	33.5839	710459
477|ERX104859|ST2371	7.60209e-05	1.07036e-10	53.9929	710238
790|ERX132327|ST2173	1.07829e-05	1.51684e-11	7.66529	710877
2410|ERX359396|ST3126	4.55648e-05	6.4121e-11	32.3786	710606
1716|ERX221200|ST3125	0.000121406	1.71108e-10	86.1401	709524
3427|ERX556656|ST1560	4.02429e-05	5.6642e-11	28.5918	710479
9533|ERX551816|ST3775	1.48015e-05	2.08223e-11	10.5216	710847
7893|ERX385348|ST3451	6.60508e-05	9.29869e-11	46.9175	710324
1562|ERX209383|ST3341	3.08637e-05	4.34257e-11	21.9356	710724
12327|ERX1269230|ST3792	8.26788e-05	1.16537e-10	58.6576	709464
661|ERX120705|ST2273	3.48879e-05	4.90898e-11	24.7946	710695
7790|ERX385128|ST3426	5.4485e-05	7.72772e-11	38.4152	705059
31755|ERX186615|ST1580	7.5043e-05	1.05638e-10	53.3092	710382
4084|SRX1051395|ST7	5.7644e-05	8.11294e-11	40.9572	710519
14692|ERX311502|ST3330	2.81851e-05	3.96557e-11	20.0324	710744
8015|ERX385528|ST1163	6.30134e-05	8.86914e-11	44.7697	710480
4188|SRX1051504|ST78	5.60391e-05	7.88737e-11	39.8153	710491
1117|ERX151999|ST3098	4.96135e-05	6.98209e-11	35.2544	710582
11801|ERX110677|ST230	4.4245e-05	6.22624e-11	31.4414	710621
7963|ERX385470|ST1535	1.61353e-05	2.2699e-11	11.4696	710837
1757|ERX267646|ST2361	1.34606e-05	1.89357e-11	9.56854	710857
1643|ERX212161|ST3113	1.34574e-05	1.89313e-11	9.5663	710857
3444|ERX556677|ST478	1.74718e-05	2.45795e-11	12.4194	710826
2365|ERX359322|ST3528	8.04022e-05	1.13188e-10	57.1129	710341
7786|ERX385123|ST646	8.07801e-05	1.13748e-10	57.3671	710164
2700|ERX460162|ST2257	6.94824e-05	9.79045e-11	49.3113	709695
4109|SRX1051420|ST50	0.00123662	1.86119e-09	821.645	664426
23699|ERX385133|ST3464	5.73825e-05	8.07662e-11	40.769	710477
12394|ERX1269476|ST3794	2.52903e-05	3.55837e-11	17.9745	710728
591|ERX110366|ST2905	3.75681e-05	5.28626e-11	26.6987	710674
3324|ERX552179|ST3780	2.81886e-05	3.96606e-11	20.0349	710745
11864|ERX110757|ST2750	0.000278138	4.06987e-10	190.082	683407
1128|ERX152010|ST2573	8.40934e-05	1.18428e-10	59.7131	710081
15220|ERX385407|ST3536	5.34769e-05	7.52637e-11	37.9967	710526
31718|ERX490219|ST3800	8.41477e-05	1.18512e-10	59.7479	710036
37312|ERX676585|ST239	6.99884e-05	9.85813e-11	49.6888	709957
2618|ERX455892|ST1739	4.85329e-05	6.83116e-11	34.4809	710465
4290|SRX477027|ST45	0.000145127	2.06871e-10	101.812	701536
3603|ERX556844|ST3820	8.7484e-05	1.23194e-10	62.1255	710135
17767|SRX2219190|ST5	0.000117008	1.64902e-10	83.0237	709558
1684|ERX221160|ST1126	7.03482e-05	9.90486e-11	49.964	710239
14465|ERX204897|ST8	2.15934e-05	3.03844e-11	15.3458	710672
7822|ERX385253|ST3439	3.35336e-05	4.71837e-11	23.8324	710703
7993|ERX385504|ST3448	4.57104e-05	6.43509e-11	32.4694	710330
40636|ERX110351|ST605	2.74111e-05	3.85723e-11	19.4794	710642
7691|ERX376490|ST2445	3.48776e-05	4.90754e-11	24.7873	710693
27059|ERX376484|ST2444	5.63122e-05	7.92537e-11	40.0115	710530
4106|SRX1051417|ST12	4.42483e-05	6.2267e-11	31.4438	710622
3694|ERX910041|ST2126	4.85954e-05	6.84001e-11	34.5251	710459
2854|ERX490180|ST481	4.42499e-05	6.22693e-11	31.445	710622
12495|ERX1285974|ST2533	0.00134887	2.17877e-09	835.083	619098
1914|ERX284138|ST3101	2.68496e-05	3.77762e-11	19.0835	710755
31681|ERX490254|ST2491	9.71989e-05	1.36874e-10	69.0243	710135
1825|ERX276008|ST3122	2.07858e-05	2.92558e-11	14.7679	710483
4402|SRX886997|ST4159	4.05235e-05	5.70331e-11	28.7929	710525
549|ERX105473|ST105	1.47995e-05	2.08195e-11	10.5202	710847
849|ERX139259|ST3131	4.02445e-05	5.66303e-11	28.5999	710654
905|ERX139326|ST718	0.00116386	1.78805e-09	757.561	650906
1002|ERX1492910|ST1571	4.25599e-05	5.98945e-11	30.2422	710581
