Parameter	Posterior Mean	Posterior Variance	a_post	b_post
6782_ERX197833_ST2934	5.76798e-05	8.1178e-11	40.9835	710535
4278_SRX477009_ST72	5.32968e-05	7.50248e-11	37.8615	710390
2698_ERX460160_ST3092	8.30372e-05	1.16927e-10	58.97	710163
990_ERX1492898_ST2460	0.0014302	2.17675e-09	939.692	657035
1291_ERX186293_ST3132	0.000182074	2.56912e-10	129.037	708703
831_ERX139238_ST3123	8.09184e-05	1.13966e-10	57.4536	710019
4183_SRX1051497_ST946	8.77794e-05	1.23593e-10	62.3436	710230
624_ERX110422_ST229	1.21301e-05	1.70637e-11	8.62293	710871
23940_ERX1033551_ST2766	0.000131382	1.85184e-10	93.211	709467
435_ERX1033572_ST3061	4.05384e-05	5.70555e-11	28.8029	710508
756_ERX132283_ST2014	3.11011e-05	4.37678e-11	22.1003	710594
3074_ERX551145_ST3772	2.017e-05	2.83759e-11	14.337	710812
15046_ERX376412_ST2417	5.66232e-05	7.97049e-11	40.2258	710411
12063_ERX113973_ST232	4.02614e-05	5.66532e-11	28.6123	710664
29940_SRX2147155_ST923	4.17685e-05	5.87847e-11	29.678	710534
6775_ERX197772_ST3141	4.56162e-05	6.42051e-11	32.4092	710476
7808_ERX385188_ST3456	2.55251e-05	3.59118e-11	18.1425	710772
2785_ERX470730_ST121	0.000199381	2.81228e-10	141.355	708967
39625_ERX460155_ST2767	0.00151484	2.30456e-09	995.741	657324
3229_ERX552062_ST1016	4.29385e-05	6.04219e-11	30.514	710644
8018_ERX385531_ST3074	4.0633e-05	5.71857e-11	28.8715	710544
2800_ERX470745_ST1797	5.90105e-05	8.3052e-11	41.9283	710524
1488_ERX197824_ST2899	2.68617e-05	3.77928e-11	19.0923	710762
2378_ERX359340_ST3090	6.0701e-05	8.54478e-11	43.1212	710386
982_ERX1492889_ST692	0.000119165	1.6874e-10	84.1553	706205
4050_SRX1051358_ST1693	2.15011e-05	3.02491e-11	15.283	710801
4120_SRX1051431_ST188	6.19792e-05	8.72469e-11	44.0293	710389
14479_ERX212185_ST3349	8.78196e-05	1.23673e-10	62.3602	710094
12260_ERX1269101_ST3806	8.10693e-06	1.14038e-11	5.76322	710899
883_ERX139300_ST3106	9.92203e-05	1.39703e-10	70.4686	710224
341_ERX094780_ST22	6.76753e-06	9.51954e-12	4.8111	710909
4277_SRX477008_ST1564	7.1253e-05	1.00315e-10	50.6104	710290
839_ERX139247_ST3097	9.11375e-05	1.28312e-10	64.733	710279
3089_ERX551161_ST3805	2.28345e-05	3.21256e-11	16.2305	710789
37980_ERX152017_ST446	4.94547e-05	6.95991e-11	35.1409	710566
260_ERX067791_ST1352	6.0203e-05	8.47476e-11	42.7669	710379
23982_ERX1033583_ST2682	8.6973e-05	1.22488e-10	61.7555	710054
4034_SRX1051339_ST1534	4.82638e-05	6.79462e-11	34.2829	710324
1324_ERX186326_ST3111	3.38865e-05	4.7688e-11	24.0793	710587
6076_ERX139448_ST219	1.74786e-05	2.4589e-11	12.4243	710830
2958_ERX490306_ST3044	3.09665e-05	4.35888e-11	21.9993	710423
1162_ERX152056_ST3109	5.90227e-05	8.3069e-11	41.9372	710526
18301_SRX791926_ST3170	7.9391e-05	1.11856e-10	56.3487	709761
23709_ERX385162_ST3559	4.56295e-05	6.42103e-11	32.4255	710626
34641_SRX866194_ST425	7.54831e-05	1.063e-10	53.6	710093
12194_ERX1268913_ST737	6.6859e-05	9.41407e-11	47.4834	710203
621_ERX110417_ST149	7.51107e-05	1.05821e-10	53.3128	709790
6210_ERX139609_ST2391	1.61423e-05	2.27088e-11	11.4746	710841
7945_ERX385448_ST3459	6.84097e-05	9.62897e-11	48.6022	710457
418_ERX1033553_ST2328	0.00116638	1.75002e-09	777.383	666494
1809_ERX275992_ST3094	5.90253e-05	8.30726e-11	41.939	710526
6920_ERX209541_ST3348	2.40042e-05	3.3773e-11	17.061	710751
7936_ERX385430_ST3430	6.74385e-05	9.496e-11	47.8934	710179
23668_ERX385214_ST3532	5.35739e-05	7.53978e-11	38.0669	710550
433_ERX1033570_ST2377	1.83177e-05	2.57767e-11	13.017	710627
17804_SRX2219480_ST338	8.33737e-05	1.17389e-10	59.2149	710234
40654_ERX110372_ST20	7.11809e-05	1.00214e-10	50.559	710290
6005_ERX139357_ST2161	1.21277e-05	1.70604e-11	8.62126	710870
7814_ERX385218_ST3457	4.00016e-05	5.62908e-11	28.4261	710624
614_ERX110407_ST36	1.68623e-05	2.37326e-11	11.9808	710509
4000_SRX1051301_ST250	1.21254e-05	1.70572e-11	8.6196	710870
11786_ERX110650_ST2440	1.88319e-05	2.64932e-11	13.3862	710822
3630_ERX589416_ST3692	0.000189458	2.67302e-10	134.283	708777
12322_ERX1269223_ST2626	5.22049e-05	7.34857e-11	37.0868	710408
679_ERX120724_ST227	2.3975e-05	3.37445e-11	17.0339	710487
12404_ERX1269490_ST3795	9.44668e-06	1.32885e-11	6.71555	710890
27072_ERX376432_ST2438	6.35286e-05	8.94321e-11	45.1279	710355
19688_ERX359456_ST3140	0.000106711	1.50353e-10	75.7365	709736
4234_SRX1051553_ST1153	0.00123729	1.88354e-09	812.777	656899
12101_ERX116909_ST3359	1.21287e-05	1.70617e-11	8.62192	710870
2626_ERX455900_ST2639	0.000274434	3.89333e-10	193.444	704883
27031_ERX376440_ST2439	4.8691e-05	6.85348e-11	34.5928	710456
599_ERX110382_ST1207	0.000104366	1.4933e-10	72.9411	698896
4052_SRX1051360_ST3467	3.08893e-05	4.34611e-11	21.954	710734
3032_ERX490399_ST3137	0.000116223	1.63729e-10	82.5012	709851
1182_ERX152079_ST3110	6.32865e-05	8.90887e-11	44.9572	710376
7879_ERX385327_ST95	0.000103155	1.4534e-10	73.2138	709747
1372_ERX186568_ST1586	1.34632e-05	1.89393e-11	9.57045	710860
2598_ERX455872_ST3119	2.95494e-05	4.15754e-11	21.0021	710743
6861_ERX209423_ST3346	2.01683e-05	2.83736e-11	14.3358	710812
20075_ERX212124_ST3096	2.01669e-05	2.83716e-11	14.3348	710812
40373_SRX2122523_ST225	1.48078e-05	2.08311e-11	10.5262	710851
6855_ERX209409_ST3344	1.61417e-05	2.27079e-11	11.4742	710840
2352_ERX359308_ST3716	4.69657e-05	6.60916e-11	33.3746	710615
2761_ERX470705_ST2430	9.14041e-05	1.28764e-10	64.884	709858
1752_ERX267641_ST1958	9.44636e-05	1.33052e-10	67.0667	709973
4204_SRX1051522_ST39	5.50199e-05	7.7432e-11	39.0948	710558
7111_ERX276099_ST216	2.1503e-05	3.02517e-11	15.2843	710802
2458_ERX359449_ST3117	7.3194e-05	1.03042e-10	51.9921	710333
7930_ERX385418_ST1532	3.08926e-05	4.34658e-11	21.9564	710734
3322_ERX552176_ST80	0.00101892	1.53367e-09	676.939	664368
4283_SRX477016_ST3812	3.53404e-05	4.97373e-11	25.1108	710541
600_ERX110385_ST2031	2.15057e-05	3.02555e-11	15.2863	710802
870_ERX139284_ST1957	5.71635e-05	8.04815e-11	40.6015	710269
1583_ERX212094_ST1709	2.48533e-05	3.4971e-11	17.6628	710683
39019_ERX209354_ST3103	4.29495e-05	6.04374e-11	30.5219	710645
1799_ERX267690_ST254	6.59446e-05	9.2854e-11	46.8337	710197
4094_SRX1051405_ST291	4.29316e-05	6.04123e-11	30.509	710643
14614_ERX276156_ST3317	1.48101e-05	2.08343e-11	10.5278	710851
31743_ERX490292_ST3720	8.83402e-05	1.24374e-10	62.7462	710278
8017_ERX385530_ST3446	3.11116e-05	4.37831e-11	22.1074	710585
3090_ERX551162_ST3767	6.70703e-05	9.4403e-11	47.6512	710467
1338_ERX186340_ST3108	4.41491e-05	6.21283e-11	31.3728	710611
5771_ERX1285972_ST2569	0.00124239	1.98937e-09	775.886	624512
4501_SRX887142_ST1232	4.15577e-05	5.84787e-11	29.5328	710646
23955_ERX1033561_ST2849	5.82478e-05	8.2008e-11	41.3716	710269
20348_SRX476963_ST109	5.33069e-05	7.5062e-11	37.857	710171
14494_ERX212212_ST3350	1.88218e-05	2.6479e-11	13.379	710821
2970_ERX490319_ST701	6.19002e-05	8.71363e-11	43.9728	710383
3634_ERX589420_ST2305	2.28478e-05	3.21441e-11	16.24	710792
40351_SRX2122562_ST3885	1.21282e-05	1.70611e-11	8.6216	710870
4419_SRX887024_ST2197	1.61483e-05	2.27172e-11	11.4789	710841
9540_ERX552039_ST3784	0.00010103	1.42432e-10	71.6623	709320
2439_ERX359425_ST3120	0.000105219	1.48198e-10	74.704	709987
15094_ERX384792_ST3529	2.14927e-05	3.02373e-11	15.277	710800
4184_SRX1051498_ST3932	4.29285e-05	6.04082e-11	30.5068	710641
15199_ERX385359_ST3423	1.61462e-05	2.27142e-11	11.4774	710841
31746_ERX490376_ST3617	1.88312e-05	2.64922e-11	13.3856	710822
6140_ERX139517_ST1540	2.15024e-05	3.02509e-11	15.2839	710801
7998_ERX385510_ST3437	5.5022e-05	7.74349e-11	39.0963	710558
4167_SRX1051481_ST30	5.28882e-05	7.44537e-11	37.5692	710351
2947_ERX490295_ST136	0.00139894	2.1413e-09	913.948	653314
7803_ERX385143_ST3449	3.75818e-05	5.28812e-11	26.7088	710684
2359_ERX359315_ST3088	2.55202e-05	3.59049e-11	18.139	710772
2934_ERX490281_ST132	3.4891e-05	4.90937e-11	24.7971	710702
14455_ERX204870_ST3311	1.34612e-05	1.89366e-11	9.56906	710860
23706_ERX385171_ST3530	5.82813e-05	8.20516e-11	41.3973	710301
1690_ERX221167_ST133	6.38097e-05	8.98211e-11	45.3311	710410
808_ERX132355_ST3095	5.63519e-05	7.93079e-11	40.0407	710547
31732_ERX490324_ST522	0.00116621	1.76297e-09	771.451	661503
2895_ERX490230_ST3142	0.000710158	1.0448e-09	482.701	679709
12359_ERX1269274_ST913	0.000878949	1.32021e-09	585.173	665765
877_ERX139294_ST1956	0.000171264	2.41417e-10	121.496	709409
1774_ERX267665_ST3366	3.49045e-05	4.91126e-11	24.8068	710704
675_ERX120720_ST130	2.95418e-05	4.15647e-11	20.9966	710742
10731_SRX864956_ST700	3.80859e-05	5.35987e-11	27.0629	710575
2824_ERX490129_ST750	0.000110882	1.56153e-10	78.7358	710086
625_ERX110424_ST2894	1.21225e-05	1.7053e-11	8.61751	710870
3344_ERX552208_ST228	7.77904e-05	1.09504e-10	55.2613	710388
4091_SRX1051402_ST582	0.000114857	1.64549e-10	80.1721	698014
1144_ERX152032_ST3104	9.23763e-05	1.30144e-10	65.5689	709802
636_ERX120678_ST1526	3.49067e-05	4.91156e-11	24.8083	710704
7680_ERX360785_ST2160	0.0010814	1.61523e-09	724.006	669506
4130_SRX1051441_ST182	9.63354e-05	1.35643e-10	68.4186	710212
7856_ERX385293_ST3470	6.02999e-05	8.49122e-11	42.8216	710144
4060_SRX1051368_ST1	2.82143e-05	3.97034e-11	20.0499	710627
2617_ERX455891_ST3105	5.42426e-06	7.62993e-12	3.85621	710919
11771_ERX110631_ST828	2.52777e-05	3.55657e-11	17.9657	710732
5777_ERX1285993_ST730	6.70684e-05	9.44005e-11	47.6499	710467
2774_ERX470719_ST1820	1.61436e-05	2.27106e-11	11.4755	710841
6972_ERX212248_ST3358	2.01559e-05	2.83562e-11	14.327	710810
1431_ERX186635_ST1579	6.04361e-05	8.50764e-11	42.9322	710374
34160_ERX384688_ST1536	6.84147e-05	9.62966e-11	48.6057	710458
23655_ERX385155_ST46	0.00010183	1.43453e-10	72.2833	709845
3549_ERX556785_ST3762	1.07497e-05	1.51217e-11	7.64168	710876
15034_ERX376396_ST1094	0.000614664	9.27394e-10	407.392	662787
1797_ERX267688_ST1764	4.16016e-05	5.85399e-11	29.5643	710654
12337_ERX1269245_ST789	4.96357e-05	6.98511e-11	35.2708	710593
4110_SRX1051421_ST3455	2.01703e-05	2.83764e-11	14.3372	710811
823_ERX132371_ST2024	7.2304e-05	1.01813e-10	51.348	710168
12482_ERX1269772_ST3788	1.49642e-05	2.10561e-11	10.6348	710681
1803_ERX267696_ST707	0.00128394	1.96197e-09	840.226	654414
3633_ERX589419_ST433	9.77401e-05	1.37684e-10	69.3844	709886
4192_SRX1051508_ST1165	4.15949e-05	5.85306e-11	29.5595	710653
1552_ERX209366_ST3136	1.48096e-05	2.08337e-11	10.5274	710851
7826_ERX385260_ST3443	3.35586e-05	4.72182e-11	23.8505	710713
5402_ERX110871_ST3316	2.41875e-05	3.40294e-11	17.1921	710782
12318_ERX1269214_ST2689	9.93064e-05	1.3989e-10	70.4963	709887
27047_ERX376477_ST2443	4.21055e-05	5.9271e-11	29.9113	710389
23092_SRX1051309_ST54	5.34961e-05	7.53168e-11	37.9973	710281
15064_ERX376448_ST2452	4.28722e-05	6.03298e-11	30.4663	710631
7933_ERX385423_ST630	3.75829e-05	5.28828e-11	26.7096	710683
1424_ERX186628_ST1245	2.68707e-05	3.78054e-11	19.0987	710763
1547_ERX209359_ST3116	6.22581e-05	8.7637e-11	44.2287	710409
15043_ERX376407_ST2437	2.70379e-05	3.8048e-11	19.2138	710626
353_ERX100648_ST218	1.212e-05	1.70495e-11	8.61571	710870
1777_ERX267668_ST521	0.000153856	2.16887e-10	109.143	709384
18303_SRX791933_ST3173	7.52067e-05	1.05921e-10	53.3989	710028
4287_SRX477024_ST552	3.08616e-05	4.34224e-11	21.9343	710731
1134_ERX152020_ST138	6.8443e-05	9.63582e-11	48.6148	710297
2704_ERX470605_ST1945	6.70638e-05	9.43941e-11	47.6466	710466
4199_SRX1051516_ST6	2.15012e-05	3.02492e-11	15.2831	710801
1641_ERX212158_ST177	0.00209477	3.26958e-09	1342.08	640684
4237_SRX1051556_ST34	9.65271e-05	1.35955e-10	68.5337	709995
31740_ERX490237_ST419	5.63528e-05	7.93092e-11	40.0413	710547
1131_ERX152013_ST2179	0.000144097	2.031e-10	102.235	709487
15219_ERX385405_ST3435	1.36944e-05	1.92698e-11	9.73219	710669
3703_ERX910050_ST97	9.10811e-05	1.28288e-10	64.6653	709975
2779_ERX470724_ST88	1.07794e-05	1.51635e-11	7.66288	710879
2592_ERX455866_ST3091	2.55196e-05	3.59041e-11	18.1386	710772
9554_ERX552134_ST3778	2.01592e-05	2.83609e-11	14.3294	710811
3441_ERX556673_ST3691	3.89248e-05	5.47716e-11	27.6628	710674
3701_ERX910048_ST152	0.00438987	8.79616e-09	2190.83	499066
23942_ERX1033560_ST126	0.0012678	1.92151e-09	836.488	659795
7804_ERX385144_ST3454	6.29562e-05	8.86484e-11	44.7102	710179
1303_ERX186305_ST3133	3.20541e-05	4.51025e-11	22.7807	710695
3429_ERX556658_ST3760	5.02991e-05	7.08003e-11	35.7343	710437
2955_ERX490303_ST3837	0.000115444	1.62627e-10	81.9505	709871
4179_SRX1051493_ST25	5.01615e-05	7.06153e-11	35.6322	710350
931_ERX147798_ST247	5.77346e-05	8.12696e-11	41.0152	710408
15210_ERX385391_ST81	9.1541e-05	1.2896e-10	64.9796	709841
973_ERX147854_ST2046	2.62039e-05	3.68767e-11	18.6201	710582
3759_ERX926370_ST3881	4.08637e-06	5.74793e-12	2.90512	710929
4141_SRX1051454_ST3468	3.62398e-05	5.09922e-11	25.7554	710693
9525_ERX551557_ST3774	3.48786e-05	4.90765e-11	24.7882	710698
979_ERX1492886_ST1583	1.07852e-05	1.51716e-11	7.66695	710880
375_ERX1027819_ST479	0.00177955	2.73989e-09	1155.82	649499
5564_ERX113350_ST830	2.41801e-05	3.40191e-11	17.1868	710781
7782_ERX385118_ST580	0.000611066	9.10568e-10	410.075	671082
20395_SRX2369545_ST243	6.67822e-05	9.51752e-11	46.8596	701677
5401_ERX110870_ST94	0.000111107	1.56465e-10	78.8981	710108
1837_ERX276022_ST3139	3.0011e-05	4.22352e-11	21.3249	710569
4267_SRX476967_ST3781	1.34767e-05	1.89658e-11	9.57628	710581
20066_ERX212156_ST816	0.00116627	1.76485e-09	770.707	660831
15215_ERX385397_ST3535	4.96419e-05	6.98596e-11	35.2753	710595
2807_ERX470753_ST3118	2.82264e-05	3.97361e-11	20.0505	710346
3098_ERX551171_ST3773	4.08559e-06	5.74684e-12	2.90456	710928
2350_ERX359306_ST2676	8.4892e-05	1.19591e-10	60.2607	709850
7898_ERX385356_ST3427	5.9022e-05	8.30682e-11	41.9367	710525
31710_ERX490131_ST1729	0.000110838	1.56165e-10	78.6673	709750
1677_ERX221148_ST398	1.21243e-05	1.70556e-11	8.61881	710870
1355_ERX186358_ST3093	2.08809e-05	2.93845e-11	14.8382	710610
641_ERX120683_ST1943	1.88205e-05	2.64772e-11	13.378	710821
12080_ERX114014_ST3314	1.21255e-05	1.70572e-11	8.61963	710870
2925_ERX490270_ST2488	9.59953e-05	1.35218e-10	68.1499	709929
17790_SRX2219265_ST101	0.00129176	1.98061e-09	842.489	652203
2630_ERX455904_ST2640	0.000139583	1.96677e-10	99.0638	709710
850_ERX139260_ST3107	4.23736e-05	5.96413e-11	30.1054	710475
841_ERX139249_ST1021	9.1328e-05	1.286e-10	64.8586	710173
15086_ERX384694_ST2047	6.33292e-05	8.91479e-11	44.988	710383
1756_ERX267645_ST2616	0.00138848	2.10587e-09	915.476	659337
23097_SRX1051572_ST508	9.41443e-05	1.32633e-10	66.8248	709812
2834_ERX490145_ST3718	7.29161e-05	1.02664e-10	51.7881	710243
7870_ERX385312_ST1224	2.15072e-05	3.02577e-11	15.2874	710802
1714_ERX221198_ST1859	8.6356e-05	1.21613e-10	61.3202	710086
1765_ERX267656_ST3365	0.000142927	2.01502e-10	101.379	709305
1754_ERX267643_ST1944	4.00777e-05	5.63974e-11	28.4805	710631
314_ERX094751_ST2893	1.74901e-05	2.46052e-11	12.4325	710832
2465_ERX359459_ST2826	0.000107364	1.51253e-10	76.2095	709826
409_ERX1033539_ST1570	3.08899e-05	4.3462e-11	21.9545	710733
3086_ERX551158_ST3798	1.0785e-05	1.51751e-11	7.66492	710702
4087_SRX1051398_ST3931	4.15924e-05	5.8527e-11	29.5577	710653
4123_SRX1051434_ST59	4.72991e-05	6.6574e-11	33.6048	710475
477_ERX104859_ST2371	7.6084e-05	1.07121e-10	54.0396	710262
790_ERX132327_ST2173	1.07885e-05	1.51763e-11	7.66934	710880
2410_ERX359396_ST3126	4.55959e-05	6.41636e-11	32.4013	710619
1716_ERX221200_ST3125	0.000121598	1.71367e-10	86.2836	709578
3427_ERX556656_ST1560	4.02667e-05	5.66743e-11	28.6092	710493
9533_ERX551816_ST3775	1.48096e-05	2.08336e-11	10.5274	710851
7893_ERX385348_ST3451	6.60921e-05	9.30422e-11	46.9483	710346
1562_ERX209383_ST3341	3.08816e-05	4.34503e-11	21.9485	710733
12327_ERX1269230_ST3792	8.2919e-05	1.16867e-10	58.8323	709516
661_ERX120705_ST2273	3.49082e-05	4.91178e-11	24.8094	710704
7790_ERX385128_ST3426	5.46344e-05	7.74798e-11	38.525	705143
31755_ERX186615_ST1580	7.50918e-05	1.05703e-10	53.3454	710403
4084_SRX1051395_ST7	5.76787e-05	8.11764e-11	40.9827	710535
14692_ERX311502_ST3330	2.82025e-05	3.96798e-11	20.045	710752
8015_ERX385528_ST1163	6.30506e-05	8.87416e-11	44.7973	710497
4188_SRX1051504_ST78	5.6097e-05	7.89531e-11	39.8575	710511
1117_ERX151999_ST3098	4.96423e-05	6.98602e-11	35.2756	710595
11801_ERX110677_ST230	4.42709e-05	6.22978e-11	31.4604	710633
7963_ERX385470_ST1535	1.61442e-05	2.27114e-11	11.4759	710841
1757_ERX267646_ST2361	1.34678e-05	1.89458e-11	9.57373	710861
1643_ERX212161_ST3113	1.34647e-05	1.89415e-11	9.57155	710860
3444_ERX556677_ST478	1.74815e-05	2.4593e-11	12.4264	710831
2365_ERX359322_ST3528	8.04528e-05	1.13256e-10	57.1508	710364
7786_ERX385123_ST646	8.08578e-05	1.13853e-10	57.4247	710193
2700_ERX460162_ST2257	6.96328e-05	9.81106e-11	49.4211	709738
4109_SRX1051420_ST50	0.00124979	1.87437e-09	833.335	666778
23699_ERX385133_ST3464	5.74454e-05	8.08524e-11	40.8148	710497
12394_ERX1269476_ST3794	2.53304e-05	3.56395e-11	18.0033	710739
591_ERX110366_ST2905	3.75899e-05	5.28926e-11	26.7146	710684
3324_ERX552179_ST3780	2.82048e-05	3.9683e-11	20.0466	710753
11864_ERX110757_ST2750	0.000284469	4.15541e-10	194.741	684576
1128_ERX152010_ST2573	8.42062e-05	1.18581e-10	59.7962	710117
15220_ERX385407_ST3536	5.35252e-05	7.53299e-11	38.032	710544
31718_ERX490219_ST3800	8.42228e-05	1.18612e-10	59.8039	710069
37312_ERX676585_ST239	7.00691e-05	9.86911e-11	49.748	709984
2618_ERX455892_ST1739	4.8604e-05	6.84097e-11	34.5323	710484
4290_SRX477027_ST45	0.000145429	2.0716e-10	102.092	702010
3603_ERX556844_ST3820	8.75565e-05	1.2329e-10	62.1796	710166
17767_SRX2219190_ST5	0.000117197	1.65157e-10	83.1646	709612
1684_ERX221160_ST1126	7.04307e-05	9.91611e-11	50.0245	710265
14465_ERX204897_ST8	2.16043e-05	3.03995e-11	15.3538	710681
7822_ERX385253_ST3439	3.35531e-05	4.72106e-11	23.8466	710712
7993_ERX385504_ST3448	4.5741e-05	6.43925e-11	32.4919	710346
40636_ERX110351_ST605	2.74767e-05	3.86638e-11	19.5265	710656
7691_ERX376490_ST2445	3.48978e-05	4.91032e-11	24.802	710703
27059_ERX376484_ST2444	5.63459e-05	7.92994e-11	40.0363	710546
4106_SRX1051417_ST12	4.42741e-05	6.23023e-11	31.4627	710634
3694_ERX910041_ST2126	4.86236e-05	6.84381e-11	34.5458	710475
2854_ERX490180_ST481	4.42756e-05	6.23044e-11	31.4638	710634
12495_ERX1285974_ST2533	0.00134524	2.16392e-09	836.293	621669
1914_ERX284138_ST3101	2.6865e-05	3.77974e-11	19.0946	710763
31681_ERX490254_ST2491	9.72946e-05	1.37002e-10	69.0955	710167
1825_ERX276008_ST3122	2.0813e-05	2.92936e-11	14.7875	710496
4402_SRX886997_ST4159	4.05909e-05	5.71267e-11	28.8416	710542
549_ERX105473_ST105	1.48076e-05	2.08308e-11	10.526	710851
849_ERX139259_ST3131	4.02679e-05	5.66623e-11	28.617	710665
905_ERX139326_ST718	0.00117718	1.80316e-09	768.513	652842
1002_ERX1492910_ST1571	4.26165e-05	5.99727e-11	30.2831	710597
