sample	runtime	price	mutations	simulation	coverage	total_contig_200bp	total_gene	total_contig	total_contig_length	max_contig_length	mean_contig_length	median_contig_length	min_contig_length	n50_contig_length	coverage_cleanup	coverage_original	total_kmer	total_singleton	total_variant	total_snps	total_indel
NC_002745-50000-MS-100	119.18	0.14	50000	MS	100	14	4368	24	2816047	1427590	117335	252	128	1427590	100	300.073	4715875	1908114	48691	46204	2487
NC_002745-50000-HS-50	92.15	0.11	50000	HS	50	79	4317	226	2794300	544704	12364	144	57	243790	50	300.084	3063509	256550	48411	45948	2463
NC_002745-10000-MS-100	108.48	0.13	10000	MS	100	51	3034	59	2770937	544559	46965	664	128	244040	100	299.993	4825091	2041249	9747	9275	472
NC_002745-50000-EF-50	48.60	0.06	50000	EF	50	79	4319	218	2795890	544704	12825	146	56	243790	50	300.084	2796234	16013	48495	46025	2470
NC_002745-1000-HS-20	76.17	0.09	1000	HS	20	52	2632	120	2760539	385599	23004	149	56	137050	20	299.998	2887907	136670	957	912	45
NC_002745-1000-EF-300	80.52	0.1	1000	EF	300	39	2636	87	2760271	385599	31727	141	56	184982	299.953	299.998	2842813	98224	972	922	50
NC_002745-1000-EF-50	38.93	0.05	1000	EF	50	39	2631	94	2760640	385599	29368	133	58	184982	50	299.998	2760501	16140	972	922	50
NC_002745-50000-MS-300	176.43	0.21	50000	MS	300	13	4365	19	2815425	1149402	148180	256	128	881953	299.831	300.073	8543849	5602280	48688	46201	2487
NC_002745-10000-EF-300	81.77	0.1	10000	EF	300	37	3012	89	2762870	544129	31043	150	56	243833	299.941	299.988	2850897	96662	9720	9249	471
NC_002745-1000-EF-100	48.95	0.06	1000	EF	100	38	2637	75	2759626	385599	36795	225	67	185181	100	299.998	2777642	33282	972	922	50
NC_002745-100-MS-75	106.14	0.13	100	MS	75	32	2602	32	2763070	544217	86345	30671	255	243918	75.0002	299.993	4298667	1535342	99	95	4
NC_002745-10000-EF-150	55.95	0.07	10000	EF	150	37	3013	89	2762867	544129	31043	150	56	243834	150	299.988	2803382	49395	9720	9249	471
NC_002745-1000-MS-125	110.31	0.13	1000	MS	125	33	2655	33	2763353	544226	83737	25355	255	243912	125	299.993	5328275	2539565	974	924	50
NC_002745-100-HS-150	97.81	0.12	100	HS	150	38	2583	77	2759541	385598	35838	198	67	185006	150	299.998	3659111	694827	99	95	4
NC_002745-50000-MS-250	162.07	0.19	50000	MS	250	13	4365	20	2815604	1149402	140780	252	128	881953	250	300.073	7602373	4701104	48687	46200	2487
NC_002745-100-EF-75	44.09	0.05	100	EF	75	38	2583	80	2759699	385598	34496	178	56	185006	75.0001	299.998	2768715	25290	99	95	4
NC_002745-0-MS-300	151.01	0.18	0	MS	300	36	2595	37	2764156	544217	74706	20454	159	243919	299.749	299.993	8825997	5903481	1	1	0
NC_002745-0-HS-75	86.19	0.1	0	HS	75	38	2579	79	2759506	385598	34930	196	56	185205	75	299.998	3256522	436660	0	0	0
NC_002745-1000-MS-250	143.10	0.17	1000	MS	250	33	2653	33	2763353	544226	83737	25355	255	243911	250	299.993	7836667	4956085	973	923	50
NC_002745-0-EF-75	40.56	0.05	0	EF	75	38	2577	77	2759553	385598	35838	198	67	185006	75.0001	299.998	2767862	24508	0	0	0
NC_002745-0-HS-200	107.91	0.13	0	HS	200	38	2577	79	2759587	385598	34931	196	56	185205	200	299.998	3866505	803468	0	0	0
NC_002745-100-EF-200	67.93	0.08	100	EF	200	38	2582	80	2759700	385598	34496	178	56	185006	200	299.998	2810210	66648	99	95	4
NC_002745-10000-MS-75	99.14	0.12	10000	MS	75	57	3033	77	2773874	544559	36024	352	128	244040	75.0001	299.993	4289313	1516886	9747	9275	472
NC_002745-100-MS-200	136.54	0.16	100	MS	200	32	2603	32	2763088	544217	86346	30666	255	243919	200	299.993	6873025	4033213	100	96	4
NC_002745-1000-HS-50	83.37	0.1	1000	HS	50	39	2637	91	2760018	385599	30329	135	60	154070	50	299.998	3084152	303405	971	921	50
NC_002745-10000-EF-75	43.30	0.05	10000	EF	75	38	3012	97	2763314	544129	28487	150	56	243834	75.0001	299.988	2778521	24571	9715	9245	470
NC_002745-100-MS-150	114.76	0.14	100	MS	150	32	2603	32	2763087	544217	86346	30666	255	243919	150	299.993	5856243	3051755	100	96	4
NC_002745-10000-HS-50	83.77	0.1	10000	HS	50	43	3002	126	2763791	544129	21934	129	56	243834	50	299.988	3084159	297974	9706	9236	470
NC_002745-10000-EF-200	64.12	0.08	10000	EF	200	37	3012	89	2762868	544129	31043	150	56	243834	200	299.988	2819157	65131	9719	9248	471
NC_002745-10000-HS-150	99.91	0.12	10000	HS	150	36	3013	88	2762591	544129	31393	138	56	243834	150	299.988	3646521	681117	9713	9242	471
NC_002745-0-MS-75	96.94	0.12	0	MS	75	32	2598	32	2763094	544217	86346	30666	255	243918	75.0001	299.993	4281126	1518666	2	2	0
NC_002745-1000-MS-100	102.03	0.12	1000	MS	100	33	2654	33	2763339	544226	83737	25355	255	243911	100	299.993	4814112	2038544	973	923	50
NC_002745-100-HS-100	92.82	0.11	100	HS	100	40	2582	85	2759693	324600	32466	185	67	177086	100	299.998	3410301	541227	99	95	4
NC_002745-100-MS-250	137.69	0.16	100	MS	250	32	2602	32	2763088	544217	86346	30666	255	243919	250	299.993	7875821	4993466	100	96	4
NC_002745-100-HS-20	78.17	0.09	100	HS	20	56	2568	133	2760879	245660	20758	139	56	118979	20	299.998	2887071	137190	96	93	3
NC_002745-10000-HS-75	90.89	0.11	10000	HS	75	40	3011	101	2763149	365392	27357	135	56	243834	75	299.988	3253379	428012	9707	9237	470
NC_002745-50000-EF-250	91.83	0.11	50000	EF	250	83	4321	213	2795490	544704	13124	148	56	243790	250	300.084	2861676	81342	48534	46059	2475
NC_002745-50000-EF-75	56.86	0.07	50000	EF	75	76	4321	245	2798541	544704	11422	130	56	243790	75	300.084	2804113	23898	48521	46047	2474
NC_002745-10000-HS-100	88.83	0.11	10000	HS	100	36	3016	92	2762884	544129	30031	136	56	243834	100	299.988	3401152	529665	9708	9238	470
NC_002745-0-MS-150	117.21	0.14	0	MS	150	32	2594	32	2763105	544217	86347	30666	255	243918	150	299.993	5836948	3035144	2	2	0
NC_002745-0-MS-100	102.65	0.12	0	MS	100	32	2598	32	2763103	544217	86346	30666	255	243918	100	299.993	4818299	2044468	2	2	0
NC_002745-50000-HS-200	125.06	0.15	50000	HS	200	80	4318	223	2794595	544704	12531	134	56	243790	200	300.084	3778874	745105	48502	46033	2469
NC_002745-50000-HS-150	111.53	0.14	50000	HS	150	78	4319	196	2792836	544704	14249	149	56	243790	150	300.084	3584734	630335	48502	46034	2468
NC_002745-10000-EF-100	60.70	0.07	10000	EF	100	37	3011	98	2762948	544129	28193	139	56	243834	100	299.988	2787114	33158	9717	9247	470
NC_002745-0-HS-50	96.59	0.12	0	HS	50	42	2576	102	2760479	385598	27063	133	56	151682	50	299.998	3077594	299943	0	0	0
NC_002745-50000-HS-75	112.10	0.14	50000	HS	75	69	4322	223	2794051	544704	12529	137	56	243790	75	300.084	3191194	360019	48464	46000	2464
NC_002745-100-MS-100	103.87	0.12	100	MS	100	32	2601	32	2763081	544217	86346	30666	255	243918	100	299.993	4833545	2058167	100	96	4
NC_002745-50000-MS-125	126.28	0.15	50000	MS	125	9	4369	11	2816545	1139340	256049	397	148	1129920	125	300.073	5224470	2403867	48683	46196	2487
NC_002745-50000-EF-100	59.88	0.07	50000	EF	100	80	4318	242	2797637	544704	11560	131	56	243790	100	300.084	2812239	32018	48531	46057	2474
NC_002745-1000-MS-150	118.92	0.14	1000	MS	150	33	2654	33	2763353	544226	83737	25355	255	243912	150	299.993	5835281	3031487	973	923	50
NC_002745-50000-MS-200	151.26	0.18	50000	MS	200	7	4368	8	2816427	1129920	352053	371	149	871743	200	300.073	6659395	3794446	48687	46200	2487
NC_002745-100-EF-20	33.77	0.04	100	EF	20	49	2583	106	2759713	324615	26035	172	56	102998	20	299.998	2749729	6395	99	95	4
NC_002745-50000-EF-20	40.07	0.05	50000	EF	20	93	4318	329	2802770	544704	8519	121	56	187383	20	300.084	2786611	6481	48392	45949	2443
NC_002745-0-EF-100	43.50	0.05	0	EF	100	38	2577	77	2759553	385598	35838	198	67	185006	100	299.998	2775953	32593	0	0	0
NC_002745-10000-MS-150	119.55	0.15	10000	MS	150	51	3036	59	2770937	544559	46965	664	128	244040	150	299.993	5845776	3033616	9747	9275	472
NC_002745-1000-MS-200	129.10	0.15	1000	MS	200	33	2654	33	2763353	544226	83737	25355	255	243912	200	299.993	6845637	4005629	973	923	50
NC_002745-0-EF-50	44.56	0.05	0	EF	50	38	2578	77	2759299	385598	35835	198	67	185205	50	299.998	2759346	16019	0	0	0
NC_002745-1000-EF-200	68.12	0.08	1000	EF	200	39	2636	81	2759889	385599	34072	196	67	184982	200	299.998	2810266	65801	972	922	50
NC_002745-1000-MS-300	155.12	0.19	1000	MS	300	33	2654	33	2763353	544226	83737	25355	255	243912	299.749	299.993	8816371	5891275	973	923	50
NC_002745-10000-HS-250	115.09	0.14	10000	HS	250	36	3013	92	2762924	544129	30031	133	56	243833	250	299.988	4043439	893980	9716	9245	471
NC_002745-50000-HS-250	134.91	0.17	50000	HS	250	76	4319	236	2795478	544704	11845	122	56	243790	250	300.084	3956083	851487	48513	46039	2474
NC_002745-1000-EF-75	44.08	0.05	1000	EF	75	38	2637	75	2759626	385599	36795	225	67	185181	75.0001	299.998	2769158	24802	972	922	50
NC_002745-50000-HS-20	92.57	0.11	50000	HS	20	103	4315	264	2794378	544408	10584	136	56	185783	20	300.084	2901181	116061	47239	44935	2304
NC_002745-1000-MS-75	97.96	0.12	1000	MS	75	33	2654	33	2763339	544226	83737	25355	255	243911	75.0001	299.993	4281137	1517868	973	923	50
NC_002745-1000-MS-50	93.62	0.11	1000	MS	50	477	2563	484	2730817	47109	5642	3645	135	9928	5.1808	299.993	2795941	226146	655	621	34
NC_002745-10000-HS-200	105.08	0.13	10000	HS	200	36	3016	85	2762305	544129	32497	148	56	243833	200	299.988	3857747	797942	9716	9245	471
NC_002745-10000-MS-200	135.00	0.17	10000	MS	200	53	3035	64	2772065	544559	43313	482	128	244040	200	299.993	6843135	3995643	9747	9275	472
NC_002745-100-MS-50	84.24	0.1	100	MS	50	472	2504	477	2728896	26381	5720	4210	128	8924	5.15398	299.993	2797511	224641	67	67	0
NC_002745-50000-EF-300	102.94	0.12	50000	EF	300	81	4317	234	2796434	544704	11950	134	56	243790	300	300.084	2878562	98198	48540	46065	2475
NC_002745-1000-HS-250	111.09	0.13	1000	HS	250	39	2637	84	2760114	385599	32858	178	58	184982	250	299.998	4064475	905381	971	921	50
NC_002745-10000-HS-20	79.62	0.09	10000	HS	20	52	3004	125	2763332	290777	22106	145	56	184984	20	299.988	2894329	133644	9598	9147	451
NC_002745-100-HS-50	83.61	0.1	100	HS	50	38	2584	70	2759011	385598	39414	239	67	185006	50	299.998	3079755	302996	99	95	4
NC_002745-10000-EF-20	33.24	0.04	10000	EF	20	50	3009	130	2763573	324551	21258	138	56	184984	20	299.988	2760698	6804	9697	9232	465
NC_002745-0-EF-200	60.75	0.07	0	EF	200	38	2578	77	2759553	385598	35838	198	67	185006	200	299.998	2808446	65004	0	0	0
NC_002745-0-MS-200	128.07	0.15	0	MS	200	33	2594	33	2763353	544217	83737	25361	248	243918	200	299.993	6840785	4003407	1	1	0
NC_002745-1000-HS-200	113.55	0.14	1000	HS	200	39	2636	82	2759892	385599	33657	190	67	184982	200	299.998	3874631	809581	971	921	50
NC_002745-100-EF-100	47.52	0.06	100	EF	100	38	2583	80	2759700	385598	34496	178	56	185006	100	299.998	2776969	33534	99	95	4
NC_002745-100-MS-300	156.73	0.19	100	MS	300	32	2601	32	2763090	544217	86346	30666	255	243918	299.75	299.993	8864374	5936632	100	96	4
NC_002745-100-EF-250	76.37	0.09	100	EF	250	38	2582	80	2759700	385598	34496	178	56	185006	250	299.998	2825927	82265	99	95	4
NC_002745-1000-HS-300	122.28	0.15	1000	HS	300	39	2637	84	2760115	385599	32858	178	58	184982	297.796	299.998	4233871	997451	971	921	50
NC_002745-100-EF-300	81.14	0.1	100	EF	300	38	2582	80	2759700	385598	34496	178	56	185006	299.951	299.998	2841885	98208	99	95	4
NC_002745-1000-HS-100	88.81	0.11	1000	HS	100	38	2636	73	2759442	385599	37800	233	67	184982	100	299.998	3406615	538371	971	921	50
NC_002745-10000-MS-125	113.26	0.14	10000	MS	125	53	3037	62	2771930	544559	44708	596	128	244040	125	299.993	5338071	2540955	9747	9275	472
NC_002745-100-HS-300	121.66	0.15	100	HS	300	38	2581	77	2759541	385598	35838	198	67	185006	297.77	299.998	4233912	1004655	99	95	4
NC_002745-1000-HS-150	96.18	0.11	1000	HS	150	39	2636	82	2759891	385599	33657	190	67	184982	150	299.998	3657436	689940	971	921	50
NC_002745-10000-MS-300	154.58	0.19	10000	MS	300	53	3035	62	2771930	544559	44708	596	128	244040	299.751	299.993	8822358	5889782	9747	9275	472
NC_002745-50000-HS-300	146.17	0.17	50000	HS	300	73	4318	203	2794455	544704	13765	137	56	243790	297.858	300.084	4115340	945925	48519	46044	2475
NC_002745-100-EF-125	49.92	0.06	100	EF	125	38	2582	80	2759700	385598	34496	178	56	185006	125	299.998	2785318	41838	99	95	4
NC_002745-0-HS-250	115.28	0.14	0	HS	250	38	2577	81	2759697	385598	34070	185	56	185205	250	299.998	4053871	900592	0	0	0
NC_002745-10000-HS-125	97.60	0.12	10000	HS	125	36	3012	88	2762591	544129	31393	138	56	243834	125	299.988	3527132	608913	9710	9240	470
NC_002745-0-HS-125	92.35	0.11	0	HS	125	37	2577	79	2759585	385598	34931	185	56	185205	125	299.998	3537104	622135	0	0	0
NC_002745-0-MS-250	142.69	0.17	0	MS	250	33	2595	33	2763353	544217	83737	25361	248	243919	250	299.993	7838711	4961463	1	1	0
