annotation_id	locus_tag	protein_id	gene	product
502	SA_RS02645	WP_001791436.1	.	hypothetical protein
503	SA_RS02650	WP_000157650.1	.	50S ribosomal protein L25/general stress protein Ctc
504	SA_RS02655	WP_000649791.1	.	peptidyl-tRNA hydrolase
505	SA_RS02660	WP_000154218.1	.	transcription-repair coupling factor
506	SA_RS02665	WP_000680740.1	.	stage V sporulation protein B
508	SA_RS02675	WP_001234988.1	.	hypothetical protein
509	SA_RS02680	WP_000792417.1	.	cell division protein DIVIC
510	SA_RS02685	WP_000021445.1	.	RNA-binding protein S1
511	SA_RS02690	WP_001176709.1	.	tRNA(Ile)-lysidine synthase
512	SA_RS02695	WP_000551283.1	.	hypoxanthine-guanine phosphoribosyltransferase
513	SA_RS02700	WP_001167888.1	.	zinc metalloprotease
515	SA_RS02710	WP_000057594.1	.	cysteine synthase
517	SA_RS02720	WP_001154302.1	.	dihydroneopterin aldolase
518	SA_RS02725	WP_000613722.1	.	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase
520	SA_RS02735	WP_001288202.1	.	lysine--tRNA ligase
535	SA_RS02810	WP_000034728.1	.	pyridoxal 5'-phosphate synthase subunit PdxS
538	SA_RS02825	WP_000551762.1	.	transcriptional regulator CtsR
539	SA_RS02830	WP_000882069.1	.	excinuclease ABC subunit B
540	SA_RS02835	WP_000149502.1	.	protein arginine kinase
541	SA_RS02840	WP_000897132.1	.	ATP-dependent Clp protease ATP-binding subunit ClpC
543	SA_RS02850	WP_001085219.1	.	DNA repair protein RadA
546	SA_RS02865	WP_000919905.1	.	serine acetyltransferase
547	SA_RS02870	WP_000631969.1	.	cysteine--tRNA ligase
548	SA_RS02875	WP_041961197.1	.	ribonuclease III
549	SA_RS02880	WP_000390332.1	.	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB
550	SA_RS02885	WP_000664737.1	.	hypothetical protein
552	SA_RS02895	WP_001074473.1	.	protein translocase subunit SecE
554	SA_RS02905	WP_001085792.1	.	50S ribosomal protein L11
555	SA_RS02910	WP_001074622.1	.	50S ribosomal protein L1
556	SA_RS02915	WP_001273085.1	.	50S ribosomal protein L10
557	SA_RS02920	WP_001273586.1	rplL	50S ribosomal protein L7/L12
559	SA_RS02930	WP_000918667.1	.	DNA-directed RNA polymerase subunit beta
562	SA_RS02945	WP_001142337.1	.	30S ribosomal protein S12
563	SA_RS02950	WP_001137495.1	.	30S ribosomal protein S7
564	SA_RS02955	WP_000090315.1	fusA	elongation factor G
565	SA_RS02960	WP_001040568.1	tuf	elongation factor Tu
575	SA_RS03010	WP_000180281.1	.	tRNA-specific adenosine deaminase
576	SA_RS03015	WP_000593361.1	.	haloacid dehalogenase
584	SA_RS03055	WP_000129068.1	.	bacillithiol biosynthesis deacetylase BshB2
585	SA_RS03060	WP_000433318.1	.	hypothetical protein
593	SA_RS03100	WP_001165058.1	.	protein VraC
595	SA_RS03110	WP_000587958.1	.	protein VraX
597	SA_RS03120	WP_000455256.1	.	uracil-DNA glycosylase
600	SA_RS03135	WP_000412514.1	.	amino acid permease
603	SA_RS03150	WP_000075704.1	.	heme-binding protein
604	SA_RS03155	WP_000774281.1	eutD	phosphate acetyltransferase
605	SA_RS03160	WP_000362356.1	.	octanoyl-[GcvH]:protein N-octanoyltransferase
606	SA_RS03165	WP_000197034.1	.	mevalonate kinase
607	SA_RS03170	WP_000597327.1	.	diphosphomevalonate decarboxylase
608	SA_RS03175	WP_000616885.1	.	phosphomevalonate kinase
609	SA_RS03180	WP_000798967.1	.	hypothetical protein
611	SA_RS03190	WP_001047238.1	.	transcriptional regulator
620	SA_RS03235	WP_000477505.1	.	acetyltransferase
621	SA_RS03240	WP_000180234.1	.	HD domain-containing protein
622	SA_RS03245	WP_001290992.1	.	hypothetical protein
625	SA_RS03260	WP_000359086.1	.	hypothetical protein
626	SA_RS03265	WP_001021144.1	argS	arginine--tRNA ligase
629	SA_RS03280	WP_001100744.1	.	enterobactin ABC transporter permease
630	SA_RS03285	WP_000365354.1	.	haloacid dehalogenase
632	SA_RS03295	WP_000735558.1	.	hypothetical protein
635	SA_RS03310	WP_001018677.1	.	transcriptional regulator
645	SA_RS03360	WP_000616642.1	.	cation:proton antiporter
649	SA_RS03380	WP_000737654.1	.	manganese ABC transporter substrate-binding protein
650	SA_RS03385	WP_000889252.1	.	membrane protein
654	SA_RS03405	WP_000215388.1	.	N-acetylmannosaminyltransferase
655	SA_RS03410	WP_001103231.1	.	teichoic acids export ATP-binding protein TagH
656	SA_RS03415	WP_001273060.1	.	teichoic acid ABC transporter permease
658	SA_RS03425	WP_001241182.1	.	glycosyl transferase
659	SA_RS03430	WP_000832260.1	.	glycerol-3-phosphate cytidylyltransferase
660	SA_RS03435	WP_000793067.1	.	D-alanyl-D-alanine carboxypeptidase
662	SA_RS03445	WP_000479279.1	.	nucleoside permease
663	SA_RS03450	WP_001788321.1	.	hypothetical protein
664	SA_RS03455	WP_001044662.1	.	membrane protein
665	SA_RS03460	WP_001080809.1	.	iron-dicitrate ABC transporter ATP-binding protein
666	SA_RS03465	WP_000184741.1	.	ferrichrome ABC transporter permease
667	SA_RS03470	WP_000625878.1	.	iron ABC transporter permease
671	SA_RS03490	WP_001164085.1	.	hypothetical protein
672	SA_RS03495	WP_000980137.1	.	membrane protein
673	SA_RS03500	WP_001030772.1	.	lipase LipA
676	SA_RS03515	WP_000940129.1	.	acetyltransferase
682	SA_RS03545	WP_000491755.1	.	hypothetical protein
700	SA_RS03635	WP_000820897.1	.	Rossman fold protein, TIGR00730 family
701	SA_RS03640	WP_000148826.1	.	hypothetical protein
703	SA_RS03650	WP_000469894.1	.	undecaprenyl-diphosphatase
704	SA_RS03655	WP_000737162.1	.	cysteine ABC transporter ATP-binding protein
705	SA_RS03660	WP_000857598.1	.	cysteine ABC transporter ATP-binding protein
707	SA_RS03670	WP_000794419.1	.	cobalamin biosynthesis protein CobW
709	SA_RS03680	WP_000180416.1	.	membrane protein
716	SA_RS03715	WP_000216725.1	.	hypothetical protein
718	SA_RS03725	WP_000587338.1	.	DeoR family transcriptional regulator
719	SA_RS03730	WP_000640737.1	.	1-phosphofructokinase
722	SA_RS03745	WP_001292242.1	.	N-acetylglucosamine-6-phosphate deacetylase
723	SA_RS03750	WP_000450257.1	.	hypothetical protein
729	SA_RS03780	WP_001093562.1	.	hypothetical protein
730	SA_RS03785	WP_000604990.1	.	membrane protein
731	SA_RS03790	WP_001062972.1	.	7-cyano-7-deazaguanosine (preQ0) biosynthesis protein QueE
732	SA_RS03795	WP_000941336.1	.	6-carboxy-5,6,7,8-tetrahydropterin synthase
733	SA_RS03800	WP_000446724.1	.	7-cyano-7-deazaguanine synthase
734	SA_RS03805	WP_000604514.1	.	glutamine amidotransferase
735	SA_RS03810	WP_001217791.1	.	para-aminobenzoate synthetase subunit I
736	SA_RS03815	WP_001175781.1	.	aminodeoxychorismate lyase
737	SA_RS03820	WP_001797134.1	.	hypothetical protein
739	SA_RS03830	WP_000022323.1	.	allophanate hydrolase
741	SA_RS03840	WP_001791726.1	.	hypothetical protein
744	SA_RS03855	WP_000589248.1	.	glycine/betaine ABC transporter ATP-binding protein
755	SA_RS03910	WP_000855514.1	.	ribonucleotide-diphosphate reductase
762	SA_RS03945	WP_001127269.1	.	hypothetical protein
763	SA_RS03950	WP_000608433.1	murB	UDP-N-acetylenolpyruvoylglucosamine reductase
766	SA_RS03965	WP_000985617.1	.	hypothetical protein
767	SA_RS03970	WP_000866737.1	.	glycerate kinase
768	SA_RS03975	WP_000795811.1	.	peptidase T
770	SA_RS03985	WP_001113406.1	.	membrane protein
771	SA_RS03990	WP_000460983.1	.	membrane protein
774	SA_RS04005	WP_000686344.1	.	hypothetical protein
777	SA_RS04020	WP_000617735.1	.	ribosomal subunit interface protein
784	SA_RS04055	WP_000638419.1	.	hypothetical protein
787	SA_RS04070	WP_000958224.1	.	HPr kinase/phosphorylase
791	SA_RS04090	WP_000134963.1	.	thioredoxin reductase
794	SA_RS04105	WP_001248939.1	.	hypothetical protein
795	SA_RS04110	WP_000006551.1	.	sporulation regulator WhiA
797	SA_RS04120	WP_001049165.1	.	ATP-dependent Clp protease proteolytic subunit
800	SA_RS04135	WP_000654030.1	.	transcriptional regulator
801	SA_RS04140	WP_000279414.1	.	glyceraldehyde-3-phosphate dehydrogenase
803	SA_RS04150	WP_001260089.1	tpiA	triose-phosphate isomerase
804	SA_RS04155	WP_001085507.1	.	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
805	SA_RS04160	WP_001121760.1	eno	enolase
806	SA_RS04165	WP_000785252.1	.	membrane protein
807	SA_RS04170	WP_000556760.1	.	protein-export membrane protein SecG
823	SA_RS04250	WP_001059082.1	.	cold-shock protein
828	SA_RS04275	WP_001059690.1	.	membrane protein
829	SA_RS04280	WP_000145163.1	.	hypothetical protein
833	SA_RS04300	WP_000569884.1	.	acetyltransferase
834	SA_RS04305	WP_000974460.1	.	organic hydroperoxide resistance protein-like
838	SA_RS04325	WP_000589549.1	.	arsenate reductase
839	SA_RS04330	WP_000290491.1	.	glycine cleavage system protein H
851	SA_RS04390	WP_001065801.1	.	thiol reductase thioredoxin
852	SA_RS04395	WP_000571207.1	.	methionine import ATP-binding protein MetN 2
855	SA_RS04410	WP_000752917.1	.	CsbD family protein
856	SA_RS04415	WP_001183854.1	.	DUF368 domain-containing protein
857	SA_RS04420	WP_000168845.1	.	ABC transporter ATP-binding protein
859	SA_RS04430	WP_000807663.1	.	cysteine desulfurase
867	SA_RS04470	WP_000608129.1	.	hypothetical protein
870	SA_RS04485	WP_000201875.1	.	lipoyl synthase
871	SA_RS04490	WP_000598444.1	.	hypothetical protein
874	SA_RS04505	WP_000273982.1	.	hypothetical protein
878	SA_RS04525	WP_000837752.1	.	hypothetical protein
879	SA_RS04530	WP_000129659.1	.	D-alanine--poly(phosphoribitol) ligase
880	SA_RS04535	WP_000613541.1	.	D-alanyl-lipoteichoic acid biosynthesis protein DltB
881	SA_RS04540	WP_000395692.1	.	D-alanine--poly(phosphoribitol) ligase subunit 2
882	SA_RS04545	WP_000769415.1	.	D-alanyl-lipoteichoic acid biosynthesis protein DltD
883	SA_RS04550	WP_001141883.1	.	hypothetical protein
884	SA_RS04555	WP_000401414.1	.	disulfide oxidoreductase
885	SA_RS04560	WP_000794020.1	.	NADH dehydrogenase
886	SA_RS04565	WP_001068337.1	.	hypothetical protein
888	SA_RS04575	WP_000046076.1	.	NADH dehydrogenase
890	SA_RS04585	WP_000606324.1	.	sodium:proton antiporter
893	SA_RS04600	WP_000590451.1	.	Na+/H+ antiporter subunit G
894	SA_RS04605	WP_001016306.1	.	Na+/H+ antiporter subunit F
895	SA_RS04610	WP_000290674.1	.	Na+/H+ antiporter subunit E
897	SA_RS04620	WP_000402803.1	.	Na+/H+ antiporter subunit C
898	SA_RS04625	WP_001081626.1	.	Na+/H+ antiporter subunit B
899	SA_RS04630	WP_000054612.1	.	Na+/H+ antiporter subunit A
901	SA_RS04640	WP_000035058.1	.	peptidyl-prolyl cis-trans isomerase
902	SA_RS04645	WP_001067294.1	.	general stress protein
905	SA_RS04660	WP_000138487.1	.	NAD-specific glutamate dehydrogenase
907	SA_RS04670	WP_000066053.1	.	argininosuccinate lyase
908	SA_RS04675	WP_000660045.1	.	argininosuccinate synthase
910	SA_RS04685	WP_000007967.1	.	hypothetical protein
911	SA_RS04690	WP_000758209.1	.	inactive signal peptidase IA
914	SA_RS04705	WP_000154921.1	.	ATP-dependent helicase/nuclease subunit A
917	SA_RS04720	WP_001124506.1	.	CoA-disulfide reductase
927	SA_RS04770	WP_000769694.1	.	MAP domain-containing protein
928	SA_RS04775	WP_000682089.1	.	hypothetical protein
929	SA_RS04780	WP_001100526.1	.	3-oxoacyl-ACP synthase III
943	SA_RS04850	WP_000258003.1	.	regulatory protein Spx
948	SA_RS04875	WP_000214070.1	.	hypothetical protein
949	SA_RS04880	WP_000224619.1	.	adenylate cyclase
951	SA_RS04890	WP_001077683.1	.	GTP pyrophosphokinase
952	SA_RS04895	WP_001270834.1	ppnK	NAD(+) kinase
956	SA_RS04915	WP_000933195.1	.	enoyl-ACP reductase
957	SA_RS04920	WP_000933105.1	.	AI-2E family transporter
960	SA_RS04935	WP_000600387.1	.	hypothetical protein
961	SA_RS04940	WP_001154223.1	.	glycolipid permease LtaA
962	SA_RS04945	WP_000258645.1	.	diacylglycerol beta-glucosyltransferase
963	SA_RS04950	WP_000340119.1	.	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L- lysine ligase
965	SA_RS04960	WP_001049950.1	.	peptide chain release factor 3
966	SA_RS04965	WP_000928413.1	.	membrane protein
968	SA_RS04975	WP_000021865.1	.	ATP synthase
973	SA_RS05000	WP_000876826.1	.	hypothetical protein
988	SA_RS05075	WP_000070966.1	.	1,4-dihydroxy-2-naphthoate octaprenyltransferase
992	SA_RS05095	WP_000184945.1	.	1,4-dihydroxy-2-naphthoyl-CoA synthase
1005	SA_RS05160	WP_000104254.1	.	quinol oxidase subunit 4
1006	SA_RS05165	WP_000017736.1	.	quinol oxidase subunit 3
1007	SA_RS05170	WP_001010762.1	.	cytochrome ubiquinol oxidase subunit I
1008	SA_RS05175	WP_000032836.1	.	quinol oxidase subunit 2
1012	SA_RS05195	WP_000861572.1	.	phosphoribosylaminoimidazole carboxylase
1013	SA_RS05200	WP_001010413.1	.	N5-carboxyaminoimidazole ribonucleotide synthase
1015	SA_RS05210	WP_000848350.1	.	phosphoribosylformylglycinamidine synthase
1020	SA_RS05235	WP_000238669.1	.	phosphoribosylglycinamide formyltransferase
1024	SA_RS05255	WP_000921965.1	.	ABC transporter ATP-binding protein
1025	SA_RS05260	WP_000033477.1	.	thiamine ABC transporter permease
1029	SA_RS05280	WP_000009069.1	.	hypothetical protein
1030	SA_RS05285	WP_000685067.1	.	SAM-dependent methyltransferase
1032	SA_RS05295	WP_000437472.1	.	phosphocarrier protein HPr
1033	SA_RS05300	WP_000040051.1	.	phosphoenolpyruvate--protein phosphotransferase
1034	SA_RS05305	WP_001289618.1	.	NrdH-redoxin
1035	SA_RS05310	WP_000381849.1	.	cytochrome d ubiquinol oxidase subunit I
1038	SA_RS05325	WP_000811375.1	.	ribonuclease J 1
1039	SA_RS05330	WP_000257888.1	.	hypothetical protein
1041	SA_RS05340	WP_000957037.1	.	peptide deformylase
1042	SA_RS05345	WP_000668336.1	.	cell-wall-binding lipoprotein
1043	SA_RS05350	WP_000035320.1	.	pyruvate dehydrogenase E1 component subunit alpha
1044	SA_RS05355	WP_000068176.1	.	pyruvate dehydrogenase E1 component subunit beta
1046	SA_RS05365	WP_000260117.1	.	dihydrolipoyl dehydrogenase
1049	SA_RS05380	WP_000433551.1	.	spermidine/putrescine import ATP-binding protein PotA
1051	SA_RS05390	WP_000872390.1	.	spermidine/putrescine ABC transporter permease
1055	SA_RS05410	WP_001060842.1	.	divalent metal cation transporter
1060	SA_RS05435	WP_001250275.1	.	hypothetical protein
1061	SA_RS05440	WP_000614712.1	.	hypothetical protein
1062	SA_RS05445	WP_001118417.1	.	hypothetical protein
1066	SA_RS05465	WP_000031401.1	.	protoheme IX farnesyltransferase
1067	SA_RS05470	WP_000538766.1	.	membrane protein
1069	SA_RS05480	WP_000733409.1	.	hypothetical protein
1072	SA_RS05495	WP_001049150.1	.	hypothetical protein
1073	SA_RS05500	WP_000814565.1	.	hypothetical protein
1074	SA_RS05505	WP_001263796.1	.	methyltransferase
1075	SA_RS05510	WP_000401377.1	coaD	phosphopantetheine adenylyltransferase
1076	SA_RS05515	WP_000843611.1	.	hypothetical protein
1078	SA_RS05525	WP_001791487.1	.	hypothetical protein
1079	SA_RS05530	WP_000290472.1	rpmF	50S ribosomal protein L32
1083	SA_RS05550	WP_001246685.1	.	hypothetical protein
1084	SA_RS05555	WP_001220199.1	.	heme uptake system protein IsdE
1085	SA_RS05560	WP_001548422.1	.	hemin ABC transporter permease
1086	SA_RS05565	WP_001821618.1	.	SrtB family sortase
1087	SA_RS05570	WP_000670950.1	.	monooxygenase IsdI
1089	SA_RS05580	WP_000435374.1	.	RNA methyltransferase
1090	SA_RS05585	WP_000003566.1	pheS	phenylalanine--tRNA ligase subunit alpha
1091	SA_RS05590	WP_000908969.1	.	phenylalanine--tRNA ligase subunit beta
1093	SA_RS05600	WP_000046704.1	.	cell division protein ZapA
1094	SA_RS05605	WP_000234068.1	.	colicin V production protein CvpA
1096	SA_RS05615	WP_001249275.1	.	endonuclease MutS2
1097	SA_RS05620	WP_001018928.1	.	thiol reductase thioredoxin
1100	SA_RS05635	WP_000079317.1	.	succinate dehydrogenase cytochrome B558
1101	SA_RS05640	WP_000818278.1	sdhA	succinate dehydrogenase flavoprotein subunit
1128	SA_RS05775	WP_000149423.1	.	membrane protein
1137	SA_RS05820	WP_000480800.1	.	division/cell wall cluster transcriptional repressor MraZ
1138	SA_RS05825	WP_000468384.1	.	ribosomal RNA small subunit methyltransferase H
1139	SA_RS05830	WP_000257598.1	.	cell division protein FtsL
1140	SA_RS05835	WP_001118652.1	.	penicillin-binding protein
1141	SA_RS05840	WP_000578458.1	.	phospho-N-acetylmuramoyl-pentapeptide- transferase
1142	SA_RS05845	WP_000935991.1	murD	UDP-N-acetylmuramoylalanine--D-glutamate ligase
1145	SA_RS05860	WP_000888997.1	.	cell division protein FtsZ
1148	SA_RS05875	WP_001185355.1	.	cell division protein SepF
1149	SA_RS05880	WP_000354114.1	.	cell division protein
1155	SA_RS05910	WP_000549207.1	.	lipoprotein signal peptidase
1156	SA_RS05915	WP_000451294.1	.	hypothetical protein
1157	SA_RS05920	WP_000003870.1	.	bifunctional protein PyrR
1159	SA_RS05930	WP_001016166.1	.	aspartate carbamoyltransferase
1161	SA_RS05940	WP_001190913.1	.	carbamoyl-phosphate synthase small chain
1162	SA_RS05945	WP_001126259.1	.	carbamoyl-phosphate synthase large chain
1163	SA_RS05950	WP_000654067.1	.	orotidine 5'-phosphate decarboxylase
1164	SA_RS05955	WP_001040248.1	.	orotate phosphoribosyltransferase
1166	SA_RS05965	WP_000354180.1	.	hypothetical protein
1168	SA_RS05975	WP_000368226.1	.	guanylate kinase
1170	SA_RS05985	WP_000722165.1	.	phosphopantothenoylcysteine decarboxylase
1173	SA_RS06000	WP_001198024.1	.	hypothetical protein
1175	SA_RS06010	WP_000161291.1	.	methionyl-tRNA formyltransferase
1180	SA_RS06035	WP_000847936.1	.	GTPase
1181	SA_RS06040	WP_000164332.1	.	ribulose-phosphate 3-epimerase
1182	SA_RS06045	WP_000547910.1	.	thiamine pyrophosphokinase
1183	SA_RS06050	WP_000517908.1	.	50S ribosomal protein L28
1184	SA_RS06055	WP_000171418.1	.	hypothetical protein
1185	SA_RS06060	WP_000623903.1	.	hypothetical protein
1186	SA_RS06065	WP_001151509.1	.	ATP-dependent DNA helicase RecG
1187	SA_RS06070	WP_000768423.1	.	transcription factor FapR
1190	SA_RS06085	WP_000167269.1	.	beta-ketoacyl-ACP reductase
1192	SA_RS06095	WP_000426914.1	.	acyl carrier protein
1193	SA_RS06100	WP_000043237.1	.	ribonuclease 3
1194	SA_RS06105	WP_000262698.1	.	chromosome segregation protein SMC
1195	SA_RS06110	WP_000007678.1	.	signal recognition particle-docking protein FtsY
1196	SA_RS06115	WP_000531320.1	.	DNA-binding protein
1198	SA_RS06125	WP_000268754.1	rpsP	30S ribosomal protein S16
1199	SA_RS06130	WP_001261987.1	.	ribosome maturation factor RimM
1200	SA_RS06135	WP_000687330.1	.	tRNA (guanine-N(1)-)-methyltransferase
1201	SA_RS06140	WP_000181402.1	.	50S ribosomal protein L19
1205	SA_RS06160	WP_000176393.1	.	ribonuclease HII
1206	SA_RS06165	WP_001020801.1	sucC	succinyl-CoA ligase subunit beta
1207	SA_RS06170	WP_000110253.1	.	succinyl-CoA ligase subunit alpha
1211	SA_RS06190	WP_000774780.1	.	DNA topoisomerase 1
1213	SA_RS06200	WP_001015601.1	.	tyrosine recombinase XerC
1214	SA_RS06205	WP_000072681.1	.	HslU--HslV peptidase proteolytic subunit
1217	SA_RS06220	WP_031761472.1	.	hypothetical protein
1219	SA_RS06230	WP_001789890.1	.	hypothetical protein
1220	SA_RS06235	WP_000201392.1	.	elongation factor Ts
1221	SA_RS06240	WP_000057330.1	pyrH	UMP kinase
1222	SA_RS06245	WP_001280006.1	.	ribosome recycling factor
1223	SA_RS06250	WP_000473699.1	.	isoprenyl transferase
1224	SA_RS06255	WP_000868413.1	.	phosphatidate cytidylyltransferase
1226	SA_RS06265	WP_000814094.1	.	proline--tRNA ligase
1228	SA_RS06275	WP_000036633.1	.	ribosome maturation factor
1230	SA_RS06285	WP_000727423.1	.	DNA-binding protein
1231	SA_RS06290	WP_000020853.1	.	50S ribosomal protein L7ae
1233	SA_RS06300	WP_000097322.1	.	ribosome-binding factor A
1235	SA_RS06310	WP_000864185.1	.	bifunctional riboflavin kinase/FMN adenylyltransferase
1236	SA_RS06315	WP_001018328.1	.	30S ribosomal protein S15
1237	SA_RS06320	WP_000076690.1	.	polyribonucleotide nucleotidyltransferase
1238	SA_RS06325	WP_000052590.1	.	ribonuclease J 2
1243	SA_RS06350	WP_000646228.1	.	3-oxoacyl-ACP reductase
1245	SA_RS06360	WP_000859443.1	.	transcriptional regulator
1246	SA_RS06365	WP_001025093.1	.	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
1247	SA_RS06370	WP_000020347.1	.	competence protein CinA
1248	SA_RS06375	WP_000368166.1	.	DNA recombination/repair protein RecA
1249	SA_RS06380	WP_001050913.1	.	ribonuclease Y
1250	SA_RS06385	WP_000026308.1	.	hypothetical protein
1251	SA_RS06390	WP_001222105.1	.	metallophosphoesterase
1252	SA_RS06395	WP_000804320.1	.	2-oxoglutarate ferredoxin oxidoreductase subunit alpha
1253	SA_RS06400	WP_000190138.1	.	2-oxoacid ferredoxin oxidoreductase subunit beta
1255	SA_RS06410	WP_001001524.1	.	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
1256	SA_RS06415	WP_000282386.1	.	hypothetical protein
